,language
12280,English
12281,English
12282,English
12283,"English, Español"
12284,
12285,English
12286,English
12287,"English, Polski"
12288,English
12289,"English, Deutsch"
12290,"English, Français, Deutsch, Italiano"
12291,"English, Tiếng Việt"
12292,
12293,English
12294,
12295,English
12296,"English, Português, پښتو, Pусский, اردو"
12297,"English, 日本語"
12298,Français
12299,Dansk
12300,English
12301,English
12302,English
12303,日本語
12304,English
12305,Italiano
12306,English
12307,English
12308,English
12309,English
12310,English
12311,English
12312,"English, Français, Deutsch"
12313,"English, Deutsch, Italiano"
12314,English
12315,English
12316,English
12317,"Latin, English, Français"
12318,"Bahasa melayu, 普通话"
12319,English
12320,"Hrvatski, Deutsch, English, Pусский, Srpski"
12321,"العربية, English, Pусский, اردو"
12322,English
12323,English
12324,English
12325,English
12326,English
12327,Deutsch
12328,"English, Français"
12329,Português
12330,English
12331,English
12332,
12333,English
12334,English
12335,English
12336,
12337,English
12338,English
12339,English
12340,"English, Deutsch"
12341,English
12342,"English, 日本語"
12343,English
12344,English
12345,Español
12346,Português
12347,English
12348,Português
12349,日本語
12350,English
12351,English
12352,English
12353,
12354,Český
12355,English
12356,English
12357,"العربية, English"
12358,English
12359,"日本語, Español"
12360,English
12361,"Français, English"
12362,svenska
12363,English
12364,English
12365,Español
12366,Italiano
12367,"Pусский, English"
12368,English
12369,English
12370,"Pусский, English, Español, Polski"
12371,English
12372,English
12373,English
12374,"Norsk, English"
12375,English
12376,English
12377,
12378,English
12379,English
12380,English
12381,English
12382,English
12383,
12384,English
12385,
12386,English
12387,"English, Deutsch, 日本語"
12388,日本語
12389,日本語
12390,English
12391,"English, Français, Italiano"
12392,English
12393,English
12394,English
12395,"English, ภาษาไทย"
12396,English
12397,English
12398,"Español, English"
12399,English
12400,English
12401,
12402,"English, Deutsch"
12403,English
12404,English
12405,English
12406,
12407,English
12408,English
12409,Français
12410,English
12411,"English, Français"
12412,English
12413,"Bamanankan, Français"
12414,Deutsch
12415,Español
12416,"English, Português"
12417,English
12418,"Français, العربية"
12419,Deutsch
12420,English
12421,English
12422,English
12423,English
12424,English
12425,English
12426,"English, Español"
12427,English
12428,English
12429,English
12430,English
12431,日本語
12432,日本語
12433,English
12434,English
12435,English
12436,English
12437,English
12438,English
12439,Norsk
12440,English
12441,"English, 普通话"
12442,"Dansk, Norsk, svenska"
12443,English
12444,Français
12445,"English, Polski"
12446,English
12447,English
12448,日本語
12449,
12450,"English, Français"
12451,No Language
12452,English
12453,Français
12454,"Español, English"
12455,English
12456,"Pусский, English"
12457,
12458,English
12459,
12460,"English, Español"
12461,English
12462,English
12463,English
12464,English
12465,English
12466,日本語
12467,English
12468,普通话
12469,English
12470,English
12471,Español
12472,English
12473,English
12474,"English, Português"
12475,Deutsch
12476,English
12477,English
12478,English
12479,English
12480,English
12481,English
12482,English
12483,English
12484,English
12485,"English, Deutsch, Pусский"
12486,普通话
12487,English
12488,English
12489,
12490,English
12491,English
12492,English
12493,Português
12494,English
12495,"English, Deutsch"
12496,English
12497,English
12498,Dansk
12499,"English, Français"
12500,English
12501,"English, Deutsch, Magyar"
12502,English
12503,English
12504,日本語
12505,"Íslenska, English"
12506,"Français, English"
12507,English
12508,"Deutsch, Français, English"
12509,English
12510,"Český, English, Italiano"
12511,English
12512,English
12513,English
12514,English
12515,English
12516,"English, Español"
12517,English
12518,Français
12519,Eesti
12520,"English, 普通话"
12521,English
12522,"English, Français"
12523,
12524,English
12525,English
12526,
12527,English
12528,English
12529,English
12530,"English, Français, Deutsch"
12531,العربية
12532,
12533,
12534,English
12535,"English, Polski"
12536,"English, Español"
12537,ภาษาไทย
12538,English
12539,日本語
12540,"English, Français"
12541,Español
12542,English
12543,"English, Polski"
12544,"Deutsch, Polski, Pусский"
12545,"English, Français, Deutsch, Italiano, Español"
12546,
12547,English
12548,English
12549,English
12550,English
12551,Français
12552,English
12553,"Český, English"
12554,"English, Deutsch"
12555,"English, 普通话, Pусский"
12556,"日本語, English"
12557,"English, Français, Español"
12558,日本語
12559,"Deutsch, Český"
12560,English
12561,English
12562,"English, 普通话"
12563,English
12564,Český
12565,Español
12566,
12567,
12568,"English, Magyar, Pусский"
12569,English
12570,"English, Español"
12571,Français
12572,Français
12573,Español
12574,Français
12575,English
12576,"English, Polski, Pусский"
12577,"English, Español"
12578,Português
12579,"English, 日本語, Deutsch"
12580,English
12581,English
12582,"English, Türkçe"
12583,"العربية, English, Français, Română"
12584,English
12585,Français
12586,Français
12587,English
12588,English
12589,
12590,"Français, Polski"
12591,"English, Français"
12592,"English, Français"
12593,"English, 普通话"
12594,English
12595,English
12596,English
12597,English
12598,"English, Pусский"
12599,English
12600,"العربية, English, فارسی, Español"
12601,English
12602,English
12603,Pусский
12604,English
12605,"English, Français"
12606,English
12607,English
12608,"English, Français"
12609,"Dansk, English, Deutsch"
12610,"English, 普通话"
12611,"English, Magyar"
12612,English
12613,English
12614,English
12615,"English, Deutsch, Italiano"
12616,"Hrvatski, English, Deutsch"
12617,English
12618,English
12619,English
12620,"Italiano, Український"
12621,English
12622,"English, Français, Deutsch"
12623,English
12624,Español
12625,"Italiano, English"
12626,"English, Deutsch, Kiswahili"
12627,"English, فارسی, اردو, العربية"
12628,Dansk
12629,"English, Français, Pусский"
12630,English
12631,"English, Français"
12632,English
12633,"English, Italiano"
12634,"English, Français, العربية, shqip"
12635,English
12636,"Français, 普通话"
12637,"English, Română, Latin"
12638,English
12639,English
12640,English
12641,English
12642,English
12643,English
12644,Dansk
12645,English
12646,English
12647,"English, Español"
12648,"Français, Italiano"
12649,"Pусский, Deutsch, English"
12650,English
12651,Deutsch
12652,English
12653,English
12654,Norsk
12655,English
12656,English
12657,"English, Pусский"
12658,English
12659,English
12660,English
12661,suomi
12662,English
12663,English
12664,"English, Deutsch, Pусский"
12665,English
12666,English
12667,English
12668,English
12669,
12670,English
12671,English
12672,English
12673,
12674,English
12675,English
12676,Français
12677,English
12678,"English, 日本語"
12679,English
12680,English
12681,English
12682,English
12683,English
12684,English
12685,日本語
12686,"isiZulu, English"
12687,English
12688,English
12689,日本語
12690,日本語
12691,Português
12692,English
12693,
12694,Dansk
12695,English
12696,"English, Français"
12697,English
12698,"English, Español"
12699,"English, Français"
12700,English
12701,"English, Français"
12702,"No Language, English"
12703,English
12704,English
12705,English
12706,English
12707,English
12708,English
12709,English
12710,English
12711,"日本語, Tiếng Việt"
12712,Deutsch
12713,普通话
12714,English
12715,Magyar
12716,"English, Español"
12717,English
12718,Italiano
12719,"English, Español"
12720,
12721,English
12722,English
12723,English
12724,
12725,"English, Français"
12726,English
12727,English
12728,Italiano
12729,Italiano
12730,English
12731,English
12732,English
12733,English
12734,English
12735,普通话
12736,English
12737,English
12738,"English, Français"
12739,"Português, Español, English"
12740,English
12741,"日本語, 普通话, English"
12742,日本語
12743,English
12744,English
12745,"English, 日本語"
12746,English
12747,"English, suomi, Deutsch, 普通话, Español"
12748,English
12749,English
12750,English
12751,English
12752,"English, Pусский"
12753,"English, Deutsch"
12754,
12755,English
12756,English
12757,English
12758,
12759,Français
12760,"Español, English"
12761,English
12762,English
12763,
12764,English
12765,"Français, 日本語"
12766,Polski
12767,Pусский
12768,English
12769,English
12770,
12771,
12772,English
12773,English
12774,"English, Français"
12775,English
12776,English
12777,
12778,English
12779,
12780,English
12781,English
12782,English
12783,English
12784,"English, 普通话"
12785,English
12786,日本語
12787,"English, Deutsch"
12788,"English, Español"
12789,English
12790,"Český, English"
12791,English
12792,English
12793,Français
12794,Français
12795,English
12796,English
12797,日本語
12798,فارسی
12799,"English, Polski"
12800,English
12801,English
12802,"English, Français, Deutsch"
12803,English
12804,"العربية, English"
12805,Pусский
12806,"English, Français, Magyar, Italiano, Română"
12807,"English, ελληνικά"
12808,suomi
12809,Français
12810,日本語
12811,English
12812,English
12813,English
12814,Deutsch
12815,suomi
12816,English
12817,Deutsch
12818,English
12819,Español
12820,English
12821,"العربية, English, Español, Français"
12822,日本語
12823,English
12824,
12825,"English, Español"
12826,"Український, Deutsch, Polski, Pусский"
12827,Polski
12828,"English, Íslenska, Italiano"
12829,English
12830,日本語
12831,"English, Français"
12832,"English, Français, Italiano"
12833,Français
12834,"English, Italiano"
12835,"Dansk, svenska"
12836,"Dansk, Deutsch, Magyar"
12837,
12838,Dansk
12839,Dansk
12840,"Norsk, svenska"
12841,Deutsch
12842,Français
12843,
12844,"English, 日本語, Pусский"
12845,English
12846,English
12847,English
12848,English
12849,"English, Français, 普通话, Pусский, Español"
12850,English
12851,Français
12852,
12853,English
12854,English
12855,"English, Español"
12856,"العربية, English, Français, Pусский, Español"
12857,"English, Deutsch"
12858,
12859,
12860,English
12861,English
12862,English
12863,English
12864,English
12865,"English, Español"
12866,"العربية, English, Français, Italiano, Latin"
12867,English
12868,English
12869,"English, Français"
12870,English
12871,English
12872,English
12873,English
12874,English
12875,English
12876,普通话
12877,English
12878,日本語
12879,English
12880,日本語
12881,Español
12882,Italiano
12883,"English, Pусский"
12884,
12885,Pусский
12886,English
12887,suomi
12888,"English, 普通话"
12889,English
12890,"English, Français"
12891,"English, Français, اردو, 普通话"
12892,English
12893,"Français, English, Deutsch"
12894,"Español, English"
12895,"English, 日本語, Português, Español, ภาษาไทย"
12896,"Italiano, 日本語"
12897,English
12898,"English, 日本語"
12899,
12900,"English, Italiano"
12901,Français
12902,English
12903,Deutsch
12904,
12905,English
12906,"普通话, ภาษาไทย"
12907,English
12908,English
12909,"English, Français, Español"
12910,English
12911,English
12912,English
12913,English
12914,"English, Español"
12915,English
12916,"Deutsch, English, Français, 日本語, Español"
12917,English
12918,English
12919,English
12920,English
12921,English
12922,"English, 普通话"
12923,English
12924,English
12925,English
12926,"Français, Español"
12927,English
12928,"English, ภาษาไทย"
12929,"العربية, Deutsch, English"
12930,svenska
12931,English
12932,English
12933,English
12934,English
12935,"English, Français"
12936,English
12937,English
12938,Français
12939,"Český, English"
12940,English
12941,"English, Italiano"
12942,"Český, English"
12943,日本語
12944,English
12945,"English, Pусский"
12946,English
12947,"English, Deutsch"
12948,English
12949,English
12950,English
12951,"English, Pусский"
12952,"العربية, English"
12953,English
12954,English
12955,English
12956,English
12957,"English, Pусский"
12958,English
12959,English
12960,"English, Français, Pусский"
12961,
12962,"English, Español"
12963,"Deutsch, English, Français"
12964,"Español, English"
12965,"English, Español"
12966,"ภาษาไทย, English"
12967,"Magyar, Italiano"
12968,English
12969,Français
12970,Español
12971,普通话
12972,English
12973,suomi
12974,English
12975,English
12976,普通话
12977,English
12978,English
12979,Español
12980,English
12981,English
12982,Español
12983,"English, Pусский, Español"
12984,English
12985,Español
12986,"English, suomi, svenska"
12987,"English, Español"
12988,"English, Italiano, Srpski, Español"
12989,Dansk
12990,"Deutsch, Español"
12991,"English, Deutsch"
12992,Español
12993,
12994,Italiano
12995,English
12996,English
12997,svenska
12998,English
12999,English
13000,English
13001,"English, Français"
13002,日本語
13003,English
13004,"English, Español"
13005,"Deutsch, Italiano, English"
13006,Português
13007,Pусский
13008,
13009,"suomi, Deutsch, Pусский"
13010,Português
13011,English
13012,Pусский
13013,Pусский
13014,English
13015,English
13016,English
13017,"English, Español"
13018,English
13019,English
13020,
13021,English
13022,Français
13023,日本語
13024,日本語
13025,Português
13026,English
13027,
13028,
13029,"Italiano, 普通话, Français"
13030,日本語
13031,"English, Deutsch"
13032,Español
13033,English
13034,"Český, English, Português"
13035,"Español, English, Deutsch, Nederlands, Français"
13036,日本語
13037,English
13038,English
13039,"العربية, English"
13040,English
13041,English
13042,English
13043,"English, Français, Italiano"
13044,English
13045,"English, Pусский, Español"
13046,English
13047,English
13048,"Español, English"
13049,English
13050,English
13051,"Italiano, Pусский"
13052,English
13053,"Français, English"
13054,English
13055,English
13056,English
13057,English
13058,Pусский
13059,Deutsch
13060,Français
13061,"English, Deutsch, 日本語"
13062,日本語
13063,English
13064,"English, Español"
13065,English
13066,English
13067,"English, suomi"
13068,English
13069,日本語
13070,"English, Français"
13071,日本語
13072,"English, Polski"
13073,English
13074,English
13075,English
13076,日本語
13077,日本語
13078,English
13079,English
13080,ภาษาไทย
13081,"English, Pусский"
13082,
13083,English
13084,English
13085,English
13086,English
13087,English
13088,English
13089,English
13090,English
13091,English
13092,"English, Italiano, ภาษาไทย"
13093,"Français, Pусский"
13094,
13095,"日本語, English"
13096,English
13097,日本語
13098,English
13099,"Français, English"
13100,"English, Español, Italiano, Français, Deutsch"
13101,"English, Polski, Pусский"
13102,English
13103,English
13104,
13105,English
13106,"Français, 日本語"
13107,日本語
13108,Bosanski
13109,"suomi, Pусский"
13110,Español
13111,"English, Français"
13112,日本語
13113,Deutsch
13114,Français
13115,English
13116,English
13117,English
13118,日本語
13119,Português
13120,
13121,English
13122,English
13123,"Nederlands, English, Deutsch"
13124,svenska
13125,"suomi, Magyar"
13126,
13127,Español
13128,日本語
13129,English
13130,English
13131,English
13132,Français
13133,English
13134,English
13135,English
13136,English
13137,"English, Polski, Pусский"
13138,Pусский
13139,English
13140,فارسی
13141,"English, Italiano"
13142,English
13143,
13144,English
13145,"Français, Deutsch"
13146,日本語
13147,
13148,日本語
13149,English
13150,
13151,Türkçe
13152,Italiano
13153,Italiano
13154,日本語
13155,English
13156,English
13157,"English, Français, Deutsch"
13158,English
13159,English
13160,English
13161,Français
13162,English
13163,English
13164,
13165,English
13166,"Deutsch, Türkçe"
13167,"English, 日本語"
13168,English
13169,English
13170,English
13171,English
13172,English
13173,English
13174,"English, Український, Français, Pусский, Magyar"
13175,English
13176,English
13177,English
13178,Română
13179,English
13180,English
13181,English
13182,English
13183,English
13184,English
13185,"Pусский, English"
13186,English
13187,English
13188,English
13189,Pусский
13190,English
13191,English
13192,Français
13193,"Deutsch, Italiano"
13194,English
13195,English
13196,日本語
13197,English
13198,English
13199,Deutsch
13200,English
13201,"English, Deutsch"
13202,English
13203,English
13204,English
13205,English
13206,"English, Deutsch"
13207,English
13208,
13209,"English, Deutsch"
13210,
13211,"普通话, English"
13212,"English, Español"
13213,"English, Español"
13214,English
13215,English
13216,"Español, English"
13217,English
13218,English
13219,English
13220,English
13221,English
13222,Türkçe
13223,English
13224,日本語
13225,
13226,English
13227,"English, Español"
13228,"English, Deutsch, ελληνικά, Latin"
13229,English
13230,
13231,"English, Polski"
13232,"Français, Deutsch"
13233,Nederlands
13234,日本語
13235,"English, Français"
13236,Nederlands
13237,"English, Español"
13238,English
13239,English
13240,English
13241,English
13242,Pусский
13243,English
13244,English
13245,English
13246,
13247,普通话
13248,
13249,
13250,Français
13251,"English, Deutsch"
13252,
13253,English
13254,English
13255,普通话
13256,English
13257,"Hrvatski, English, Deutsch"
13258,English
13259,English
13263,"Eesti, English"
13264,
13265,
13266,"English, Deutsch"
13267,English
13268,
13269,日本語
13270,English
13271,English
13272,
13273,English
13274,Srpski
13275,English
13276,
13277,English
13278,Nederlands
13279,English
13280,English
13281,svenska
13282,English
13283,English
13284,English
13285,English
13286,English
13287,English
13288,English
13289,English
13290,Nederlands
13291,"English, Polski"
13292,English
13293,English
13294,English
13295,English
13296,English
13297,"Deutsch, Pусский, English"
13298,English
13299,
13300,English
13301,Français
13302,English
13303,suomi
13312,English
13313,svenska
13314,日本語
13315,
13316,
13317,English
13318,Français
13319,English
13320,English
13321,English
13322,Français
13323,English
13324,suomi
13325,English
13326,English
13327,Português
13328,English
13329,
13330,"Deutsch, English"
13331,English
13332,English
13333,English
13334,"English, Français"
13335,English
13336,"普通话, 日本語"
13337,English
13338,"Deutsch, Magyar, English"
13339,English
13340,English
13341,English
13342,
13343,Español
13344,English
13345,English
13346,English
13347,English
13348,English
13349,"Français, Español, العربية, English"
13350,English
13351,日本語
13352,"English, Magyar"
13353,English
13354,
13355,
13356,English
13357,English
13358,English
13359,
13360,Español
13361,English
13362,Français
13363,English
13364,English
13365,Polski
13366,"Bosanski, Srpski"
13367,English
13368,English
13369,English
13370,
13371,English
13372,English
13373,"Latviešu, English"
13374,English
13375,English
13376,English
13377,English
13378,English
13379,English
13380,English
13381,English
13382,English
13383,日本語
13384,English
13385,"English, Italiano"
13386,English
13387,English
13388,Deutsch
13389,English
13390,English
13391,English
13392,English
13393,English
13394,Français
13395,English
13396,suomi
13397,"English, Français, Română, Pусский"
13398,"English, Français, Polski"
13399,"English, Español"
13400,"English, Deutsch"
13401,suomi
13402,suomi
13403,"English, suomi"
13404,English
13405,
13406,English
13407,English
13408,English
13409,Español
13410,"English, Deutsch"
13411,"English, Deutsch, Slovenščina"
13412,English
13413,English
13414,English
13415,English
13416,suomi
13417,"English, 日本語, Polski"
13418,English
13419,English
13420,Français
13421,English
13422,English
13423,
13424,"English, 日本語, ภาษาไทย"
13425,English
13426,English
13427,English
13428,"English, Français, Deutsch, Italiano, Pусский"
13429,English
13430,English
13431,Íslenska
13432,English
13433,suomi
13434,English
13435,English
13436,English
13437,English
13438,English
13439,English
13440,"English, ελληνικά"
13441,"English, Deutsch, Polski"
13442,English
13443,Türkçe
13444,English
13445,English
13446,"Français, Deutsch"
13447,日本語
13448,English
13449,Polski
13450,English
13451,English
13452,"English, 日本語"
13453,日本語
13454,English
13455,"العربية, Français"
13456,
13457,"English, Français"
13458,"Français, svenska"
13459,日本語
13460,English
13461,"العربية, English"
13462,English
13463,English
13464,
13465,English
13466,"English, Français, Español"
13467,
13468,"English, 普通话"
13469,English
13470,Deutsch
13471,English
13472,Nederlands
13473,English
13474,English
13475,English
13476,English
13477,"English, Polski"
13478,English
13479,English
13480,English
13481,English
13482,English
13483,English
13484,
13485,English
13486,Nederlands
13487,普通话
13488,English
13489,English
13490,English
13491,"English, Deutsch, Español"
13492,Deutsch
13493,English
13494,English
13495,English
13496,"English, 日本語, Español"
13497,English
13498,"English, Nederlands, Pусский"
13499,English
13500,Italiano
13501,English
13502,Italiano
13503,Pусский
13504,Français
13505,English
13506,English
13507,
13508,English
13509,English
13510,English
13511,English
13512,svenska
13513,"English, Український"
13514,Français
13515,日本語
13516,Français
13517,English
13518,Français
13519,English
13520,"Français, Tiếng Việt"
13521,"suomi, svenska"
13522,Polski
13523,"Český, English"
13524,English
13525,English
13526,English
13527,日本語
13528,English
13529,English
13530,English
13531,"English, Français, Polski"
13532,"English, Français"
13533,Français
13534,
13535,English
13536,English
13537,
13538,English
13539,"English, Français"
13540,English
13541,English
13542,"English, Español"
13543,English
13544,English
13545,English
13546,"English, Français, Deutsch"
13547,English
13548,"Český, English"
13549,English
13550,"English, Deutsch, Pусский, Español"
13551,English
13552,"English, Español"
13553,日本語
13554,
13555,"Český, 普通话, Pусский, ภาษาไทย"
13556,"svenska, English"
13557,English
13558,"English, Español"
13559,English
13560,English
13561,English
13562,Polski
13563,Pусский
13564,English
13565,日本語
13566,English
13567,English
13568,"English, Pусский"
13569,Polski
13570,English
13571,Polski
13572,
13573,English
13574,"English, Français"
13575,"English, Italiano, Română, Español"
13576,Français
13577,English
13578,English
13579,English
13580,English
13581,Polski
13582,Deutsch
13583,"English, Français, Deutsch, svenska"
13584,English
13585,English
13586,English
13587,English
13588,English
13589,English
13590,English
13591,"Magyar, English"
13592,English
13593,"English, Español"
13594,English
13595,English
13596,English
13597,English
13598,English
13599,English
13600,"Türkçe, Polski, Український"
13601,English
13602,English
13603,"English, suomi"
13604,English
13605,English
13606,"Deutsch, Pусский"
13607,English
13608,English
13609,"English, Italiano"
13610,English
13611,
13612,Polski
13613,"English, Nederlands"
13614,suomi
13615,"English, 日本語"
13616,English
13617,English
13618,Español
13619,English
13620,English
13621,
13622,
13623,English
13624,"English, Français"
13625,suomi
13626,English
13627,English
13628,English
13629,Polski
13630,English
13631,English
13632,English
13633,日本語
13634,日本語
13635,Français
13636,English
13637,English
13638,English
13639,English
13640,English
13641,English
13642,English
13643,Português
13644,English
13645,English
13646,English
13647,English
13648,
13649,English
13650,English
13651,English
13652,
13656,"English, Português"
13657,"Deutsch, English, Français, Italiano"
13658,English
13659,English
13660,English
13661,Español
13662,Pусский
13663,
13664,
13665,"العربية, فارسی"
13666,English
13667,
13668,English
13669,
13670,
13671,"English, Italiano"
13672,Polski
13673,English
13674,"Español, English"
13675,
13676,English
13677,English
13678,English
13679,
13680,"English, Deutsch, ภาษาไทย"
13681,Deutsch
13682,"English, Deutsch"
13683,日本語
13684,
13685,English
13686,
13687,English
13688,"English, Français"
13689,日本語
13690,English
13691,English
13692,English
13693,"Polski, Español"
13694,
13695,English
13696,English
13697,English
13698,English
13699,English
13700,Pусский
13701,Deutsch
13702,English
13703,Italiano
13704,English
13705,"English, Deutsch"
13706,"普通话, ภาษาไทย"
13707,
13708,Română
13709,Français
13710,suomi
13711,"Český, English, Français"
13712,Polski
13713,Polski
13714,English
13715,"English, Português"
13716,English
13717,English
13718,English
13719,Polski
13720,English
13721,English
13722,"English, Italiano, Latin, Français, Deutsch, 普通话"
13723,English
13724,Italiano
13725,"English, Español"
13726,
13727,English
13728,English
13729,English
13730,English
13731,English
13732,English
13733,English
13734,English
13735,"English, Español"
13736,English
13737,English
13738,English
13739,English
13740,English
13741,English
13742,English
13743,Français
13744,English
13745,"English, Italiano"
13746,English
13747,Deutsch
13748,English
13749,English
13750,English
13751,English
13752,"English, Français, Český, 日本語"
13753,English
13754,English
13755,"Deutsch, Italiano"
13756,Polski
13757,Polski
13758,"English, Deutsch, Italiano"
13759,Français
13760,Français
13761,Français
13762,English
13763,English
13764,English
13765,
13766,English
13767,Italiano
13768,Français
13769,English
13770,"English, Français"
13771,English
13772,English
13773,Polski
13774,日本語
13775,"English, Español, Magyar, Český"
13776,English
13777,日本語
13778,"Deutsch, 日本語"
13779,English
13780,English
13781,Français
13782,No Language
13783,"English, Français"
13784,English
13785,English
13786,"Português, Français, English"
13787,English
13788,English
13789,"Français, English, Italiano"
13790,English
13791,English
13792,"English, Español"
13793,English
13794,English
13795,English
13796,"English, Français, Türkçe"
13797,English
13798,English
13799,English
13800,English
13801,
13802,English
13803,English
13804,English
13805,English
13806,
13807,English
13808,suomi
13809,
13810,English
13811,日本語
13812,English
13813,Français
13814,Français
13815,Français
13816,English
13817,Polski
13818,
13819,Deutsch
13820,English
13821,English
13822,"English, Español"
13823,Français
13824,Deutsch
13825,Norsk
13826,English
13827,English
13828,"Deutsch, Norsk"
13829,English
13830,
13831,English
13832,English
13833,日本語
13834,"Dansk, Deutsch"
13835,English
13836,Português
13837,"English, Deutsch"
13838,English
13839,English
13840,"isiZulu, English"
13841,English
13842,日本語
13843,普通话
13844,日本語
13845,English
13846,"English, Español"
13847,English
13848,"English, Français"
13849,"فارسی, English"
13850,English
13851,English
13852,"Español, English"
13853,"Deutsch, English"
13854,
13855,English
13856,Norsk
13857,
13858,English
13859,English
13860,Srpski
13861,English
13862,English
13863,English
13864,English
13865,Íslenska
13866,English
13867,English
13868,English
13869,"English, العربية, Türkçe"
13870,Español
13871,English
13872,English
13873,"Deutsch, Polski"
13874,English
13875,English
13876,Français
13877,Polski
13878,English
13879,English
13880,Français
13881,English
13882,"Deutsch, Italiano"
13883,English
13884,English
13885,"English, Español"
13886,Français
13887,English
13888,Türkçe
13889,"қазақ, Pусский"
13890,English
13891,English
13892,English
13893,English
13894,English
13895,"English, Tiếng Việt"
13896,English
13897,English
13898,English
13899,English
13900,Türkçe
13901,English
13902,English
13903,
13904,English
13905,English
13906,
13907,Polski
13908,
13909,English
13910,suomi
13911,"English, Pусский"
13912,English
13913,
13914,"Hrvatski, English"
13915,English
13916,"English, Polski"
13917,English
13918,English
13919,English
13920,English
13921,English
13922,日本語
13923,English
13924,English
13925,"English, Français, svenska"
13926,فارسی
13927,Português
13928,"Español, English"
13929,
13930,English
13931,"Český, English, Deutsch"
13932,English
13933,English
13934,English
13935,English
13936,Norsk
13937,English
13938,Pусский
13939,Slovenščina
13940,English
13941,"English, Français"
13942,English
13943,English
13944,English
13945,Français
13946,Français
13947,"English, Español"
13948,English
13949,Français
13950,
13951,English
13952,"English, Français"
13953,English
13954,English
13955,"Deutsch, Italiano"
13956,English
13957,English
13958,English
13959,English
13960,
13961,English
13962,English
13963,English
13964,
13965,"English, Pусский, Français"
13966,"English, Deutsch"
13967,
13968,"Français, Italiano, English"
13969,"Français, Deutsch, Italiano"
13970,Español
13971,"svenska, suomi"
13972,English
13973,"English, Français, Magyar"
13974,English
13975,English
13976,日本語
13977,"English, svenska"
13978,Français
13979,English
13980,English
13981,English
13982,
13983,English
13984,"Español, English"
13985,"English, Magyar"
13986,"English, Français, Italiano, Latin"
13987,"Français, English"
13988,English
13989,"English, Deutsch"
13990,English
13991,Français
13992,Français
13993,English
13994,English
13995,English
13996,
13997,English
14001,"English, Português"
14002,"English, Eesti, Français"
14003,English
14004,English
14005,
14006,English
14007,
14008,English
14009,
14010,English
14011,English
14012,English
14013,English
14014,Français
14015,English
14016,English
14017,English
14018,English
14019,English
14020,"Afrikaans, isiZulu, English"
14021,"English, Français"
14022,Français
14023,English
14024,English
14025,Español
14026,Français
14027,Français
14028,English
14029,"English, Français"
14030,"Français, Deutsch, Latin"
14031,"English, Magyar"
14032,"Français, English"
14033,"Český, English"
14034,English
14035,普通话
14036,普通话
14037,Français
14038,English
14039,English
14040,English
14041,普通话
14042,普通话
14043,Dansk
14044,English
14045,"English, Español"
14046,"English, suomi, Deutsch, Norsk, Pусский"
14047,"Afrikaans, English"
14048,Deutsch
14049,English
14050,English
14051,Norsk
14052,"English, Italiano"
14053,
14054,English
14058,English
14059,English
14060,Nederlands
14061,English
14062,Français
14063,English
14064,日本語
14065,日本語
14066,Français
14067,日本語
14068,日本語
14069,English
14073,English
14074,"English, Español"
14075,"日本語, English"
14076,English
14077,English
14078,Magyar
14079,English
14080,English
14081,
14082,English
14083,"English, Français, 日本語"
14084,English
14085,"English, Español"
14086,Deutsch
14087,Deutsch
14088,English
14089,English
14090,English
14091,English
14092,"日本語, 普通话"
14093,English
14094,日本語
14095,English
14096,English
14097,Français
14098,
14099,日本語
14100,普通话
14101,English
14102,English
14103,"English, Pусский"
14104,English
14105,English
14106,English
14107,"English, Français, Español"
14108,English
14109,"日本語, 普通话"
14110,English
14111,"English, Français"
14112,English
14113,"English, Español"
14114,English
14115,"English, Español"
14116,
14117,English
14118,English
14119,Español
14120,English
14121,English
14122,English
14123,English
14124,Deutsch
14125,Deutsch
14126,English
14127,
14128,English
14129,English
14130,
14131,"Bahasa indonesia, English"
14132,
14133,English
14134,"English, Français"
14135,English
14136,"Français, Deutsch"
14137,Français
14138,English
14139,"Pусский, English"
14140,English
14141,English
14142,Français
14143,English
14144,English
14145,English
14146,English
14147,English
14148,English
14149,"English, Français, Español, Wolof"
14150,English
14151,Italiano
14152,English
14153,"Dansk, English, suomi, Français, Italiano, 日本語, Português, Pусский, Español, 普通话"
14154,English
14155,English
14156,
14157,Français
14158,English
14159,English
14160,Deutsch
14161,English
14162,Français
14163,Français
14164,English
14165,English
14166,English
14167,Pусский
14168,English
14169,"English, Français, Magyar, Español"
14170,"English, Deutsch"
14171,English
14172,English
14173,Français
14174,"English, Italiano"
14175,Español
14176,English
14177,English
14178,"Italiano, Pусский"
14179,English
14180,"English, Deutsch"
14181,English
14182,Français
14183,"English, Deutsch"
14184,English
14185,English
14186,"Deutsch, Italiano, Latin, Polski"
14187,"suomi, svenska"
14188,Español
14189,"English, Español"
14190,English
14191,"English, Español"
14192,English
14193,English
14194,"English, Tiếng Việt, Deutsch"
14195,"Español, English"
14196,Español
14197,"English, Français"
14198,Español
14199,"English, Français"
14200,English
14201,English
14202,English
14203,English
14204,"English, Español"
14205,English
14206,"English, Français"
14207,日本語
14208,"Deutsch, Italiano, Latin"
14209,ελληνικά
14210,"Français, English, Italiano"
14211,
14212,Français
14213,"English, Español"
14214,English
14215,English
14216,"Español, English"
14217,English
14218,English
14219,English
14220,English
14221,"English, Español"
14222,English
14223,"العربية, English"
