,release_date
11535,2006-09-14
11536,2006-12-15
11537,2007-01-05
11538,2007-05-16
11539,2006-12-03
11540,2006-12-13
11541,1999-11-13
11542,2006-03-08
11543,2006-12-07
11544,2004-09-06
11545,1967-03-08
11546,1974-05-17
11547,1951-08-10
11548,2006-01-01
11549,2006-09-14
11550,2006-09-02
11551,2006-01-14
11552,2005-08-12
11553,1932-08-04
11554,1953-06-05
11555,1952-03-28
11556,2006-03-02
11557,2005-05-14
11558,2006-09-13
11559,2007-01-12
11560,2006-01-27
11561,2007-01-19
11562,2006-11-07
11563,1960-02-18
11564,2005-01-01
11565,1946-07-06
11566,2006-02-24
11567,2006-06-30
11568,2005-09-04
11569,1963-06-08
11570,2005-04-22
11571,2005-08-03
11572,1986-05-21
11573,2005-07-23
11574,1939-06-10
11575,2004-02-20
11576,1966-12-30
11577,2007-02-16
11578,2006-09-15
11579,2004-10-01
11580,1978-11-14
11581,1932-01-20
11582,2006-09-22
11583,2005-05-12
11584,1977-08-26
11585,2006-08-17
11586,2005-09-15
11587,2007-05-25
11588,2006-03-26
11589,2005-09-09
11590,1964-05-05
11591,1970-01-01
11592,1947-05-21
11593,2004-08-13
11594,2006-10-20
11595,2006-12-09
11596,2007-01-26
11597,2007-01-25
11598,2007-02-02
11599,2007-02-02
11600,2007-02-06
11601,2007-02-08
11602,1966-01-01
11603,1966-10-01
11604,2006-09-21
11605,2006-04-26
11606,2006-04-30
11607,2007-06-22
11608,2006-05-01
11609,2004-08-21
11610,1961-03-03
11611,1971-02-02
11612,2006-05-16
11613,2006-10-15
11614,2005-10-07
11615,2004-12-28
11616,2005-11-18
11617,1962-10-24
11618,2006-12-26
11619,1970-06-24
11620,1982-01-22
11621,2006-09-10
11622,2006-01-01
11623,2006-05-25
11624,1968-01-07
11625,2004-01-01
11626,1997-05-18
11627,2006-11-03
11628,1967-12-25
11629,2005-01-21
11630,1936-10-15
11631,2006-10-06
11632,2007-02-16
11633,2007-02-12
11634,2007-02-14
11635,2007-02-09
11636,2007-02-23
11637,2007-02-23
11638,2006-12-08
11639,2006-10-21
11640,2005-05-12
11641,2005-12-26
11642,1978-12-08
11643,1985-01-01
11644,2006-04-21
11645,2005-11-18
11646,2006-12-29
11647,1976-03-02
11648,2005-10-24
11649,2006-03-03
11650,2006-06-06
11651,1968-11-19
11652,1987-05-09
11653,1966-09-09
11654,1962-02-28
11655,1959-02-01
11656,1970-01-01
11657,2007-02-14
11658,1966-10-12
11659,1978-02-02
11660,1935-07-12
11661,1974-11-13
11662,1960-03-20
11663,2006-01-20
11664,2004-09-24
11665,2006-09-22
11666,2002-10-17
11667,1943-05-08
11668,2006-03-23
11669,1971-12-04
11670,1995-02-25
11671,1998-10-05
11672,1972-07-01
11673,2004-09-16
11674,2007-04-24
11675,2006-12-15
11676,2004-01-01
11677,2007-01-12
11678,2006-01-21
11679,2006-09-16
11680,2005-09-30
11681,2005-05-12
11682,1986-04-17
11683,1987-11-20
11684,1962-09-19
11685,1998-04-28
11686,2007-03-02
11687,2005-08-22
11688,1972-04-19
11689,1993-02-22
11690,2007-01-05
11691,1943-01-01
11692,2007-03-02
11693,2006-02-25
11694,2006-06-08
11695,2005-09-25
11696,2004-11-05
11697,1984-02-10
11698,1980-01-01
11699,2003-02-25
11700,1940-09-18
11701,2006-10-20
11702,2006-12-09
11703,2006-09-11
11704,1953-06-04
11705,1936-12-20
11706,1947-07-21
11707,2006-09-13
11708,2007-02-09
11709,2006-12-13
11710,2006-07-27
11711,1963-12-15
11712,2000-09-07
11713,2006-01-01
11714,1991-11-20
11715,1961-11-09
11716,2007-03-02
11717,2006-01-23
11718,1961-09-01
11719,2006-09-02
11720,2004-05-22
11721,1965-07-10
11722,1928-01-22
11723,2007-03-16
11724,2006-01-01
11725,1960-04-14
11726,2006-08-11
11727,2004-10-08
11728,2007-02-08
11729,2007-03-16
11730,2007-03-23
11731,2007-03-23
11732,2007-03-22
11733,2007-03-22
11734,2007-03-23
11735,2005-09-21
11736,2006-07-20
11737,1970-10-25
11738,2005-07-17
11739,1951-08-17
11740,2006-02-15
11741,2006-09-01
11742,2006-12-01
11743,2006-01-23
11744,1949-03-19
11745,1996-08-13
11746,1998-09-06
11747,1988-01-01
11748,2002-01-15
11749,1959-01-01
11750,2002-03-15
11751,1941-09-09
11752,2003-03-05
11753,2007-01-01
11754,2005-05-13
11755,1988-10-20
11756,1951-08-29
11757,2002-06-05
11758,2006-07-05
11759,1957-11-21
11760,2007-03-09
11761,2007-03-30
11762,2004-10-01
11763,2005-11-10
11764,2007-04-04
11765,2007-04-05
11766,2007-04-04
11767,2007-03-23
11768,2006-09-22
11769,1978-02-08
11770,2006-09-13
11771,1933-07-21
11772,2007-04-05
11773,1934-09-28
11774,2006-09-10
11775,2005-11-23
11776,2006-10-14
11777,1950-08-16
11778,1995-05-24
11779,2005-10-15
11780,1974-12-25
11781,1997-11-08
11782,1966-12-18
11783,2006-01-07
11784,2006-11-08
11785,2007-04-12
11786,2007-04-12
11787,2007-01-11
11788,2007-04-13
11789,1947-04-25
11790,1978-03-18
11791,1970-03-29
11792,2006-01-01
11793,2005-09-12
11794,2007-04-13
11795,2006-05-18
11796,1969-02-26
11797,1973-01-01
11798,2007-02-08
11799,1973-04-22
11800,2006-09-12
11801,1991-10-06
11802,2006-04-05
11803,2007-04-20
11804,2006-12-01
11805,2006-08-31
11806,1947-03-01
11807,1990-01-01
11808,2007-04-20
11809,1959-01-01
11810,1993-04-14
11811,2007-04-16
11812,2006-05-05
11813,1941-02-03
11814,2007-03-22
11815,2005-03-11
11816,2004-08-27
11817,2007-04-27
11818,2007-04-27
11819,2007-04-27
11820,2007-05-01
11821,2007-05-01
11822,2002-11-29
11823,1950-08-16
11824,1977-01-01
11825,2006-04-28
11826,2006-06-02
11827,2006-09-11
11828,2002-05-23
11829,2006-11-17
11830,2006-07-29
11831,1949-10-10
11832,1988-05-13
11833,2007-04-13
11834,2006-12-01
11835,2005-10-25
11836,2006-01-01
11837,2006-12-01
11838,2004-05-14
11839,2006-10-01
11840,2006-08-16
11841,1935-12-11
11842,1951-11-21
11843,2006-08-31
11844,2006-05-20
11845,1985-03-01
11846,2003-05-16
11847,2006-01-01
11848,2006-09-12
11849,2004-05-15
11850,2006-09-11
11851,2007-06-01
11852,2007-07-13
11853,2006-05-23
11854,1981-11-10
11855,2007-04-26
11856,2007-05-11
11857,2007-05-11
11858,1984-08-17
11859,2006-04-26
11860,1932-10-22
11861,2006-05-23
11862,1965-09-24
11863,1949-02-17
11864,2006-04-20
11865,2007-05-17
11866,2007-03-23
11867,2007-05-19
11868,2006-05-19
11869,2007-06-01
11870,2007-04-28
11871,2007-06-01
11872,2006-10-09
11873,2004-12-05
11874,2006-09-11
11875,1951-04-27
11876,2007-01-20
11877,2006-12-07
11878,2006-07-27
11879,2007-07-15
11880,2007-02-14
11881,1959-10-28
11882,2006-05-17
11883,2006-05-25
11884,2006-09-10
11885,2007-06-07
11886,2006-07-19
11887,2006-08-30
11888,2006-06-29
11889,2006-02-01
11890,1999-10-07
11891,1992-12-12
11892,1995-12-09
11893,1991-12-14
11894,1943-12-24
11895,1944-12-18
11896,2001-10-20
11897,2006-04-28
11898,2007-06-08
11899,1940-01-19
11900,2007-05-21
11901,1980-10-31
11902,1978-12-21
11903,2007-06-08
11904,2007-06-13
11905,2007-06-15
11906,2006-09-07
11907,2005-12-07
11908,2006-11-09
11909,2007-05-21
11910,1953-06-25
11911,2006-09-09
11912,1940-01-19
11913,1935-03-08
11914,2005-02-06
11915,2006-04-28
11916,2006-03-29
11917,1939-03-31
11918,2005-09-11
11919,2006-06-23
11920,2004-01-23
11921,2005-05-13
11922,1967-01-29
11923,2006-02-16
11924,2006-09-28
11925,2004-06-10
11926,2007-04-27
11927,1985-12-09
11928,1956-05-18
11929,2006-09-06
11930,2006-08-08
11931,1976-11-14
11932,1967-01-01
11933,1954-09-07
11934,1992-09-11
11935,1997-06-25
11936,1954-04-06
11937,1985-01-01
11938,1973-10-29
11939,1999-10-08
11940,1990-12-12
11941,1991-03-22
11942,1920-01-12
11943,1957-06-15
11944,1992-01-31
11945,2007-02-09
11946,1983-05-06
11947,1969-07-10
11948,2004-10-19
11949,2007-06-15
11950,1973-03-25
11951,2007-05-18
11952,2004-09-24
11953,2006-03-31
11954,1956-06-06
11955,1939-07-13
11956,2007-01-01
11957,2007-07-12
11958,2007-02-09
11959,2007-08-03
11960,1983-03-18
11961,2007-06-20
11962,2007-07-04
11963,2007-06-09
11964,2007-06-09
11965,2007-06-27
11966,2007-03-09
11967,2007-06-28
11968,2007-07-12
11969,1964-01-01
11970,1974-01-04
11971,1985-02-15
11972,1993-01-01
11973,1985-09-09
11974,2007-12-17
11975,2006-04-30
11976,2006-05-05
11977,1950-08-01
11978,2006-10-01
11979,2006-01-01
11980,1958-01-01
11981,2006-09-09
11982,2007-09-14
11983,2007-01-01
11984,2007-05-09
11985,1992-04-17
11986,1969-10-22
11987,1986-10-24
11988,1930-08-20
11989,1935-01-11
11990,2005-09-09
11991,2007-03-03
11992,2004-01-01
11993,2006-01-10
11994,2007-08-03
11995,2007-08-09
11996,1964-03-01
11997,2007-07-27
11998,2006-03-20
11999,2007-07-25
12000,2007-07-27
12001,2007-07-25
12002,2007-08-03
12003,2008-02-22
12004,2006-09-12
12005,2007-08-03
12006,2007-08-03
12007,1960-06-03
12008,2005-01-01
12009,2006-09-12
12010,2007-02-09
12011,2006-07-12
12012,2005-10-26
12013,2005-01-01
12014,2006-11-01
12015,2007-02-23
12016,1933-08-18
12017,2004-03-30
12018,2006-06-02
12019,1972-12-22
12020,1984-10-05
12021,1962-05-17
12022,2006-01-06
12023,1978-04-28
12024,1951-06-28
12025,2007-08-17
12026,2007-06-17
12027,2007-01-21
12028,2007-07-13
12029,2005-09-02
12030,2006-04-20
12031,1948-12-23
12032,2005-07-27
12033,1994-04-03
12034,2005-08-31
12035,1966-07-08
12036,2006-10-22
12037,2007-06-14
12038,2007-05-14
12039,2005-01-01
12040,2007-01-31
12041,2007-08-08
12042,1992-01-01
12043,2007-04-19
12044,2004-06-26
12045,2006-11-01
12046,1963-10-23
12047,2007-08-29
12048,2007-09-21
12049,2007-08-22
12050,2007-04-27
12051,2007-01-19
12052,2006-01-01
12053,2007-08-08
12054,2007-08-17
12055,2007-08-24
12056,2007-08-24
12057,2007-08-24
12058,2007-05-17
12059,2007-08-31
12060,2007-08-31
12061,2007-02-09
12062,2005-03-19
12063,1947-12-12
12064,1976-11-25
12065,1967-11-23
12066,1968-08-28
12067,2007-08-17
12068,2004-11-20
12069,2007-02-10
12070,2006-10-13
12071,1943-07-17
12072,2007-09-07
12073,2006-05-18
12074,2007-01-21
12075,1965-03-21
12076,2007-02-10
12077,2008-09-19
12078,2007-01-25
12079,1974-03-29
12080,2004-11-12
12081,2007-04-06
12082,2007-09-06
12083,2007-07-26
12084,2007-08-03
12085,2002-12-17
12086,1996-08-17
12087,1949-09-21
12088,2005-01-01
12089,2007-08-29
12090,2006-03-24
12091,2007-09-07
12092,2006-03-02
12093,2007-08-24
12094,2007-07-27
12095,2006-04-25
12096,1967-01-01
12097,2007-09-14
12098,2007-08-31
12099,2006-01-26
12100,2007-05-11
12101,1933-12-29
12102,2007-09-20
12103,2007-03-17
12104,2007-09-03
12105,2007-09-14
12106,2000-10-26
12107,2007-04-30
12108,2007-01-31
12109,1979-04-21
12110,2006-12-11
12111,2007-01-19
12112,2006-01-21
12113,2006-09-09
12114,2007-07-10
12115,2007-01-20
12116,2007-07-23
12117,2006-11-22
12118,1955-07-01
12119,2007-09-20
12120,2007-09-14
12121,2007-09-21
12122,2007-09-11
12123,2007-09-28
12124,2007-09-28
12125,2007-09-28
12126,2007-08-11
12127,2007-10-05
12128,2007-10-05
12129,2007-10-26
12130,2007-09-29
12131,2007-05-25
12132,2007-09-09
12133,2007-09-28
12134,2007-10-12
12135,2007-10-12
12136,2007-10-17
12137,2007-09-07
12138,2007-09-26
12139,2007-09-13
12140,2007-10-19
12141,2007-10-19
12142,2007-10-12
12143,2006-09-11
12144,2006-05-01
12145,2006-04-07
12146,2007-04-27
12147,2006-09-07
12148,2007-09-02
12149,1961-10-20
12150,1950-10-06
12151,1965-10-27
12152,2006-02-19
12153,2007-02-02
12154,2006-04-26
12155,2007-05-10
12156,2007-02-13
12157,2007-06-01
12158,1956-10-11
12159,2007-10-12
12160,2007-05-23
12161,2007-09-26
12162,2007-09-09
12163,1986-01-01
12164,2006-02-24
12165,2003-02-14
12166,2002-06-22
12167,2006-10-12
12168,2007-09-06
12169,2007-03-09
12170,1960-04-22
12171,2006-09-11
12172,2007-09-14
12173,1971-12-22
12174,1944-12-25
12175,2006-01-01
12176,2007-02-11
12177,2006-09-09
12178,2007-09-27
12179,2007-10-12
12180,2007-10-25
12181,2008-04-30
12182,2007-10-05
12183,1999-09-15
12184,1932-02-10
12185,1979-09-12
12186,1980-08-24
12187,2007-03-01
12188,1941-03-21
12189,1986-05-12
12190,2006-05-25
12191,2007-01-01
12192,1989-01-17
12193,2007-05-23
12194,1949-12-29
12195,2007-10-12
12196,2006-09-26
12197,2007-01-24
12198,2007-11-02
12199,2007-04-06
12200,1993-04-01
12201,2005-01-01
12202,2004-02-27
12203,1979-10-19
12204,2007-11-02
12205,2007-10-28
12206,2004-12-12
12207,2007-09-26
12208,2007-05-22
12209,2007-11-08
12210,2005-11-06
12211,2008-01-20
12212,2007-02-09
12213,2007-11-22
12214,1947-11-03
12215,2006-10-25
12216,2007-11-21
12217,1974-11-01
12218,1935-06-20
12219,1955-10-05
12220,2007-09-21
12221,2007-06-10
12222,2006-08-24
12223,1968-11-27
12224,2007-10-22
12225,2007-11-03
12226,2007-11-05
12227,2007-11-14
12228,2007-10-04
12229,2006-05-15
12230,2001-04-21
12231,1970-10-09
12232,2006-11-28
12233,1952-11-11
12234,1995-08-13
12235,2006-01-01
12236,2007-09-01
12237,2007-09-09
12238,2006-07-20
12239,2006-12-19
12240,1935-10-17
12241,2007-01-01
12242,2007-01-21
12243,2007-06-06
12244,2007-06-14
12245,1951-02-02
12246,2007-11-01
12247,2006-11-29
12248,2007-11-21
12249,2007-11-20
12250,2007-11-21
12251,2007-11-27
12252,2007-11-09
12253,2007-11-07
12254,2007-11-28
12255,2007-12-04
12256,2007-12-14
12257,2007-12-13
12258,2007-11-27
12259,1968-10-28
12260,2007-08-31
12261,2007-10-01
12262,1992-04-22
12263,1941-07-18
12264,2001-12-12
12265,2007-01-19
12266,2007-08-25
12267,2007-08-27
12268,1941-04-03
12269,2007-12-05
12270,2007-02-11
12271,1957-04-30
12272,2006-03-10
12273,2007-05-16
12274,1969-01-15
12275,2005-05-12
12276,2005-08-10
12277,2004-05-19
12278,2004-01-31
12279,1998-06-11
12280,2004-09-17
12281,2006-12-12
12282,2007-01-01
12283,2007-01-01
12284,2006-08-27
12285,2007-01-19
12286,1986-12-09
12287,2006-04-08
12288,2006-05-01
12289,2007-09-12
12290,2005-11-18
12291,2006-02-22
12292,2007-06-15
12293,2007-12-25
12294,2007-03-12
12295,1944-05-20
12296,2007-10-14
12297,1973-02-17
12298,2005-09-14
12299,2005-09-30
12300,2007-12-05
12301,2005-04-07
12302,1922-08-18
12303,2005-06-04
12304,2007-07-27
12305,1964-01-30
12306,2007-01-22
12307,2006-11-19
12308,1991-11-22
12309,2007-08-04
12310,2006-03-30
12311,2006-01-24
12312,2006-02-02
12313,2002-03-03
12314,2006-10-26
12315,2006-01-01
12316,2007-12-20
12317,2007-12-13
12318,2006-12-02
12319,2007-12-28
12320,1971-10-13
12321,2007-12-19
12322,1973-02-07
12323,2007-12-25
12324,2007-12-21
12325,2006-12-01
12326,2006-01-01
12327,2007-12-01
12328,1991-10-04
12329,2006-09-27
12330,2005-10-25
12331,2007-12-27
12332,2005-06-11
12333,2007-01-22
12334,2007-12-25
12335,2007-12-18
12336,1999-11-19
12337,2007-11-15
12338,2007-12-12
12339,2008-01-10
12340,1972-06-27
12341,1954-05-19
12342,2007-02-10
12343,1964-06-01
12344,1996-10-11
12345,2003-01-01
12346,2001-10-29
12347,1964-11-14
12348,2005-08-19
12349,1958-09-07
12350,2007-06-18
12351,2006-03-18
12352,2005-04-29
12353,2007-12-21
12354,1964-10-16
12355,2007-02-08
12356,2006-03-13
12357,2007-05-19
12358,2007-06-27
12359,2007-04-10
12360,2006-11-30
12361,1970-09-10
12362,2005-09-16
12363,2007-11-29
12364,2007-09-01
12365,2004-09-21
12366,2006-05-05
12367,2008-01-15
12368,2008-01-17
12369,2006-04-25
12370,2007-01-23
12371,2007-09-11
12372,1968-01-01
12373,2006-04-27
12374,2007-12-21
12375,1976-11-12
12376,2007-12-07
12377,2006-08-01
12378,2007-03-10
12379,2007-11-23
12380,1934-04-27
12381,1939-12-02
12382,1970-06-12
12383,1928-04-14
12384,1924-08-24
12385,1920-10-21
12386,1926-08-28
12387,1990-11-24
12388,2001-02-21
12389,2006-07-15
12390,2007-11-29
12391,1972-12-07
12392,2008-01-04
12393,2008-01-11
12394,2008-01-22
12395,2008-01-24
12396,2008-01-25
12397,2008-01-24
12398,2008-02-01
12399,2008-02-01
12400,2008-02-01
12401,2004-01-01
12402,1976-03-04
12403,2007-02-22
12404,2008-07-11
12405,1956-12-21
12406,2006-01-01
12407,2008-02-08
12408,1968-01-01
12409,1964-02-05
12410,1993-09-05
12411,1983-11-16
12412,1942-12-04
12413,2006-06-21
12414,1973-10-14
12415,2003-08-27
12416,2004-06-11
12417,2006-06-10
12418,2007-07-01
12419,2007-02-11
12420,2007-02-09
12421,2007-09-07
12422,2007-05-18
12423,2006-11-12
12424,1934-09-06
12425,2006-09-09
12426,1936-02-28
12427,1990-01-26
12428,2007-01-19
12429,1989-03-31
12430,1982-05-21
12431,2006-08-26
12432,2005-06-04
12433,2008-02-08
12434,2008-02-07
12435,1941-04-12
12436,2007-04-27
12437,2007-05-19
12438,2006-12-15
12439,2006-11-03
12440,1942-09-16
12441,2005-01-01
12442,1966-08-19
12443,1978-01-01
12444,2008-02-10
12445,2007-09-01
12446,2007-12-11
12447,2008-02-08
12448,1955-11-22
12449,1928-02-13
12450,2007-02-07
12451,1928-05-13
12452,2006-08-07
12453,2004-06-02
12454,2008-02-01
12455,2008-02-14
12456,2008-02-14
12457,2008-02-15
12458,1930-06-06
12459,2000-09-09
12460,1930-10-12
12461,2007-01-01
12462,2008-02-22
12463,2008-02-28
12464,2008-02-28
12465,2007-09-06
12466,2004-05-08
12467,1931-01-30
12468,2007-01-01
12469,2007-04-30
12470,2006-10-12
12471,2005-09-22
12472,1977-01-01
12473,2007-01-21
12474,2005-01-01
12475,2000-08-28
12476,1943-01-28
12477,1948-06-07
12478,2007-01-01
12479,2008-03-07
12480,2008-02-22
12481,2008-02-28
12482,2008-03-14
12483,2008-03-03
12484,2007-10-20
12485,2007-02-09
12486,2007-09-20
12487,2007-11-09
12488,2008-06-20
12489,2008-01-11
12490,2007-09-08
12491,2007-02-16
12492,2006-03-01
12493,2007-08-31
12494,2007-01-01
12495,2007-05-19
12496,1948-05-15
12497,2007-06-01
12498,2004-04-02
12499,2007-05-05
12500,2008-02-26
12501,2004-12-09
12502,2006-09-02
12503,2007-09-07
12504,1960-11-23
12505,2007-09-27
12506,2008-10-17
12507,2005-12-26
12508,1969-11-06
12509,2007-08-19
12510,1993-10-01
12511,2008-03-07
12512,2008-03-07
12513,2007-09-12
12514,2007-06-11
12515,1941-08-29
12516,1986-02-05
12517,2004-09-11
12518,2004-03-10
12519,2007-03-16
12520,2008-07-16
12521,1933-09-22
12522,1966-12-03
12523,1985-01-01
12524,2007-03-12
12525,1983-08-11
12526,2006-10-18
12527,2005-01-01
12528,2007-04-01
12529,2008-03-04
12530,2007-06-06
12531,2007-07-22
12532,1927-11-14
12533,2008-01-30
12534,2008-03-20
12535,2001-11-06
12536,2008-03-20
12537,2005-04-29
12538,2007-02-10
12539,1975-03-15
12540,1931-08-01
12541,2006-09-01
12542,1983-03-04
12543,2005-08-12
12544,1975-02-21
12545,2007-10-26
12546,2006-08-31
12547,2008-03-27
12548,2008-04-11
12549,2005-12-07
12550,2007-03-30
12551,1983-12-21
12552,2006-04-11
12553,2008-03-04
12554,2008-03-24
12555,2007-10-09
12556,1981-01-08
12557,1986-05-08
12558,2004-01-30
12559,1967-11-24
12560,2008-03-28
12561,2008-02-07
12562,2007-01-23
12563,2008-01-01
12564,1964-04-16
12565,2007-04-17
12566,1982-01-01
12567,2005-07-15
12568,2006-01-15
12569,2007-11-07
12570,2008-02-09
12571,2008-01-18
12572,2008-04-02
12573,2007-05-21
12574,2007-06-13
12575,2008-04-03
12576,2008-04-02
12577,2007-09-07
12578,2007-01-20
12579,2008-04-17
12580,2007-06-15
12581,2008-03-27
12582,2008-04-10
12583,2007-09-07
12584,2008-04-25
12585,2007-09-25
12586,2006-09-01
12587,2008-05-09
12588,2007-11-15
12589,2008-07-04
12590,2003-09-11
12591,2007-01-25
12592,1973-03-01
12593,2008-04-18
12594,2008-01-21
12595,2007-09-08
12596,2006-05-09
12597,1972-11-01
12598,2007-12-17
12599,2008-04-18
12600,2008-10-01
12601,2007-03-11
12602,2006-09-12
12603,2005-10-10
12604,2006-09-01
12605,2007-01-22
12606,2007-10-13
12607,1940-04-12
12608,1936-01-20
12609,1932-02-21
12610,1975-12-19
12611,1936-11-06
12612,1939-06-16
12613,1941-12-01
12614,1942-05-01
12615,1952-02-07
12616,2004-12-03
12617,2006-09-12
12618,2008-04-24
12619,2008-04-23
12620,2006-10-09
12621,2006-09-26
12622,2006-03-03
12623,2008-04-18
12624,2005-04-20
12625,2008-04-10
12626,2005-09-14
12627,2008-04-30
12628,1999-06-25
12629,2008-05-02
12630,2008-04-07
12631,2008-12-17
12632,2007-09-21
12633,2001-04-21
12634,2008-02-18
12635,2008-03-28
12636,2007-05-17
12637,2008-01-03
12638,2008-03-11
12639,2007-01-01
12640,2006-07-28
12641,2007-09-07
12642,2007-07-27
12643,2008-05-07
12644,2007-10-26
12645,2007-12-10
12646,2007-04-30
12647,2006-09-09
12648,1993-06-06
12649,1953-11-18
12650,1940-01-22
12651,2006-09-21
12652,2006-06-14
12653,2008-05-15
12654,2006-07-03
12655,1949-08-06
12656,2006-08-13
12657,2007-06-16
12658,2008-06-03
12659,2008-10-02
12660,2008-04-28
12661,2007-12-05
12662,2007-07-19
12663,2007-10-12
12664,2008-05-21
12665,2007-01-25
12666,2008-04-10
12667,1958-02-08
12668,2008-01-18
12669,2003-04-22
12670,2008-01-01
12671,1959-07-01
12672,2006-09-28
12673,2006-05-05
12674,1932-03-22
12675,2006-09-09
12676,2007-03-07
12677,2008-01-18
12678,2008-03-21
12679,2007-06-07
12680,2008-05-12
12681,2008-05-29
12682,2007-05-18
12683,2008-05-30
12684,2008-02-15
12685,2006-01-01
12686,2008-04-29
12687,2008-06-04
12688,2007-03-11
12689,1974-01-01
12690,1987-08-01
12691,1969-05-20
12692,2008-05-28
12693,2007-01-31
12694,2007-03-17
12695,1950-07-07
12696,1969-03-26
12697,1955-10-01
12698,1972-01-01
12699,1970-12-18
12700,1959-10-01
12701,1968-08-14
12702,1929-02-21
12703,1976-08-01
12704,1968-05-29
12705,1957-02-22
12706,1935-09-06
12707,1934-06-27
12708,1933-07-12
12709,1958-01-01
12710,2008-05-10
12711,1982-10-13
12712,1975-01-01
12713,1986-01-01
12714,2008-06-05
12715,1982-12-09
12716,2008-06-06
12717,2007-10-05
12718,2007-04-20
12719,2007-05-21
12720,2002-03-14
12721,1974-07-30
12722,1977-12-16
12723,1960-07-13
12724,1920-12-05
12725,1985-07-11
12726,1921-08-28
12727,1959-06-10
12728,1963-05-16
12729,1961-09-21
12730,2008-03-14
12731,2007-03-23
12732,2007-10-28
12733,1996-03-31
12734,2008-01-19
12735,2007-12-12
12736,2007-01-01
12737,2007-01-22
12738,2008-06-11
12739,2008-06-12
12740,2008-01-21
12741,2008-07-03
12742,2004-03-13
12743,2008-06-22
12744,2008-06-19
12745,2008-07-01
12746,2007-01-31
12747,2002-05-18
12748,1952-12-10
12749,1974-05-24
12750,1973-01-01
12751,2008-05-09
12752,2008-06-19
12753,2007-09-05
12754,2007-11-16
12755,2007-01-01
12756,2006-01-01
12757,2007-12-21
12758,1920-08-15
12759,2007-06-27
12760,1936-04-11
12761,2008-06-24
12762,1970-10-01
12763,2008-03-09
12764,1990-09-01
12765,2003-07-19
12766,1973-12-11
12767,1969-10-01
12768,2003-11-04
12769,1928-11-24
12770,1926-12-23
12771,1925-09-16
12772,1930-07-03
12773,1927-12-17
12774,1984-01-10
12775,1974-10-25
12776,1972-01-01
12777,1960-02-19
12778,2006-01-26
12779,2008-04-18
12780,2008-09-16
12781,2008-07-02
12782,2008-07-04
12783,2008-07-03
12784,2007-09-30
12785,2001-12-20
12786,2005-12-24
12787,1945-07-19
12788,1942-12-04
12789,1964-10-03
12790,1967-11-01
12791,2008-01-14
12792,2007-09-01
12793,1986-11-26
12794,2008-01-02
12795,2008-02-12
12796,1937-07-30
12797,1926-09-24
12798,1999-01-01
12799,2008-04-18
12800,1969-12-07
12801,2007-08-06
12802,2008-01-18
12803,2004-05-16
12804,2007-09-11
12805,2007-09-26
12806,2006-09-09
12807,2008-07-03
12808,2007-09-28
12809,2008-01-09
12810,1966-03-12
12811,2007-06-25
12812,2007-09-12
12813,2007-09-10
12814,2006-10-11
12815,2008-01-10
12816,2008-02-06
12817,2004-01-01
12818,2007-11-08
12819,2005-03-11
12820,2007-06-15
12821,2008-09-12
12822,1946-10-29
12823,1966-10-27
12824,2008-07-03
12825,1950-03-01
12826,2007-09-21
12827,1999-10-18
12828,2008-07-10
12829,2008-07-08
12830,2008-02-07
12831,2008-05-16
12832,2007-09-13
12833,2007-05-17
12834,2007-08-16
12835,2005-08-26
12836,2000-08-26
12837,2007-04-26
12838,2007-08-22
12839,2007-03-13
12840,2005-03-10
12841,1976-11-16
12842,2007-09-12
12843,2007-01-01
12844,2006-06-17
12845,1961-12-27
12846,2007-09-13
12847,1957-04-02
12848,2007-01-05
12849,2008-01-18
12850,2008-07-17
12851,2007-05-30
12852,2007-10-26
12853,2008-07-29
12854,2009-03-05
12855,1999-10-07
12856,2008-02-15
12857,2008-07-29
12858,2006-09-08
12859,2007-01-01
12860,2007-10-01
12861,2007-05-01
12862,2007-10-25
12863,1961-03-31
12864,2008-07-17
12865,2008-07-25
12866,2008-07-25
12867,2008-07-24
12868,2008-07-25
12869,2008-07-25
12870,2008-01-25
12871,1968-12-19
12872,2000-08-30
12873,2008-03-23
12874,2006-12-18
12875,2006-05-23
12876,2007-02-16
12877,2008-04-11
12878,1998-09-01
12879,2007-02-08
12880,1983-05-04
12881,2007-09-01
12882,2006-09-11
12883,2008-05-15
12884,1929-03-31
12885,1988-01-01
12886,2006-09-11
12887,2006-11-11
12888,2008-07-01
12889,2008-08-01
12890,2008-08-07
12891,2008-08-01
12892,2006-01-01
12893,2008-08-06
12894,2008-08-15
12895,2008-07-03
12896,1986-03-08
12897,2005-09-09
12898,1961-10-29
12899,2004-11-05
12900,1991-09-10
12901,2006-10-04
12902,2007-02-13
12903,1999-09-30
12904,1999-12-31
12905,2008-08-06
12906,2008-07-10
12907,1977-12-18
12908,2007-05-19
12909,2007-10-02
12910,2007-01-01
12911,2007-01-19
12912,2008-08-06
12913,2008-08-08
12914,2008-08-08
12915,2008-02-19
12916,2007-04-27
12917,2007-07-20
12918,2008-07-04
12919,2008-06-13
12920,1973-02-07
12921,2007-08-17
12922,2008-08-09
12923,2008-04-28
12924,2008-08-05
12925,2008-08-15
12926,2007-09-14
12927,2008-08-07
12928,2006-10-04
12929,2008-06-25
12930,2008-01-26
12931,2008-01-21
12932,2008-08-22
12933,2008-08-22
