,title,vote_count,vote_average,release_year
2410,Christine,392.0,6.5,1983
2411,Night Shift,46.0,5.9,1982
2412,House on Haunted Hill,102.0,6.9,1959
2413,Airport,89.0,6.2,1970
2414,Airport 1975,79.0,5.5,1974
2415,Airport '77,69.0,5.8,1977
2416,Rollercoaster,33.0,5.4,1977
2417,The Towering Inferno,230.0,7.1,1974
2418,Alligator,63.0,5.6,1980
2419,Meteor,37.0,5.1,1979
2420,Westworld,345.0,6.7,1973
2421,Logan's Run,272.0,6.6,1976
2422,Planet of the Apes,958.0,7.5,1968
2423,Beneath the Planet of the Apes,370.0,6.2,1970
2424,Battle for the Planet of the Apes,220.0,5.5,1973
2425,Conquest of the Planet of the Apes,243.0,6.1,1972
2426,Escape from the Planet of the Apes,270.0,6.3,1971
2427,Avalanche,10.0,3.2,1978
2428,Earthquake,76.0,5.6,1974
2429,The Concorde... Airport '79,45.0,4.7,1979
2430,Beyond the Poseidon Adventure,28.0,5.3,1979
2431,The Dancemaker,1.0,7.0,1998
2432,Analyze This,512.0,6.4,1999
2433,The Corruptor,60.0,6.1,1999
2434,Cruel Intentions,848.0,6.6,1999
2435,"Lock, Stock and Two Smoking Barrels",1671.0,7.5,1998
2436,Six Ways to Sunday,6.0,6.1,1997
2437,The School of Flesh,7.0,5.7,1998
2438,Relax... It's Just Sex,3.0,3.7,1998
2439,The Deep End of the Ocean,58.0,6.0,1999
2440,Harvest,0.0,0.0,1999
2441,The Rage: Carrie 2,79.0,5.1,1999
2442,Wing Commander,75.0,4.0,1999
2443,The Haunting,153.0,7.2,1963
2444,Dead Ringers,176.0,7.0,1988
2445,My Boyfriend's Back,22.0,5.4,1993
2446,Village of the Damned,92.0,7.1,1960
2447,Children of the Damned,24.0,5.9,1964
2448,Baby Geniuses,75.0,3.3,1999
2449,Telling You,2.0,1.5,1998
2450,I Stand Alone,99.0,7.5,1998
2451,Forces of Nature,141.0,5.1,1999
2452,The King and I,23.0,5.0,1999
2453,Ravenous,144.0,6.8,1999
2454,True Crime,146.0,6.3,1999
2455,Bandits,10.0,5.4,1997
2456,Dangerous Beauty,59.0,6.9,1998
2457,The Empty Mirror,1.0,6.0,1996
2458,The King and I,103.0,7.3,1956
2459,Doug's 1st Movie,22.0,5.4,1999
2460,Edtv,168.0,5.7,1999
2461,The Mod Squad,37.0,4.1,1999
2462,Among Giants,2.0,4.5,1998
2463,A Walk on the Moon,21.0,6.2,1999
2464,The Matrix,9079.0,7.9,1999
2465,10 Things I Hate About You,1768.0,7.3,1999
2466,Tango,6.0,6.8,1998
2467,The Out-of-Towners,46.0,5.1,1999
2468,The Dreamlife of Angels,18.0,6.9,1998
2469,"Love, etc.",1.0,6.0,1996
2470,Metroland,8.0,6.1,1997
2471,The Sticky Fingers of Time,3.0,4.8,1997
2472,Following,363.0,7.2,1998
2473,Go,198.0,7.0,1999
2474,Never Been Kissed,378.0,5.8,1999
2475,Twin Dragons,72.0,6.2,1992
2476,Cookie's Fortune,35.0,6.2,1999
2477,Foolish,3.0,6.3,1999
2478,Lovers of the Arctic Circle,54.0,7.1,1998
2479,Goodbye Lover,11.0,5.8,1998
2480,Life,179.0,6.4,1999
2481,Friends & Lovers,6.0,5.5,1999
2482,Hideous Kinky,23.0,6.2,1998
2483,Jeanne and the Perfect Guy,3.0,4.5,1998
2484,The Joyriders,1.0,6.0,1999
2485,The Monster,126.0,6.8,1994
2486,Open Your Eyes,211.0,7.4,1997
2487,Photographer,0.0,0.0,1998
2488,SLC Punk,93.0,7.3,1998
2489,Lost & Found,26.0,4.9,1999
2490,Pushing Tin,117.0,5.7,1999
2491,Election,275.0,6.7,1999
2492,eXistenZ,487.0,6.7,1999
2493,A Little Bit of Soul,2.0,5.0,1998
2494,The Mighty Peking Man,12.0,4.8,1977
2495,Nô,1.0,7.0,1998
2496,Let It Come Down: The Life of Paul Bowles,0.0,0.0,1999
2497,Entrapment,613.0,6.0,1999
2498,Idle Hands,183.0,6.1,1999
2499,Get Real,45.0,6.6,1998
2500,Heaven,5.0,6.1,1999
2501,The King of Masks,12.0,7.8,1997
2502,Three Seasons,7.0,6.8,1999
2503,The Winslow Boy,22.0,6.4,1999
2504,Mildred Pierce,81.0,7.4,1945
2505,Night of the Comet,94.0,6.1,1984
2506,Chopping Mall,58.0,5.5,1986
2507,My Science Project,41.0,6.1,1985
2508,Dick Tracy,258.0,5.9,1990
2509,The Mummy,2796.0,6.6,1999
2510,The Castle,69.0,7.4,1997
2511,Mascara,1.0,6.0,1999
2512,This Is My Father,2.0,4.5,1999
2513,Xiu Xiu: The Sent-Down Girl,7.0,7.3,1998
2514,A Midsummer Night's Dream,95.0,6.4,1999
2515,Trippin',4.0,4.5,1999
2516,After Life,49.0,7.3,1998
2517,Black Mask,55.0,5.8,1996
2518,Edge of Seventeen,29.0,5.7,1998
2519,Endurance,1.0,6.0,1999
2520,Star Wars: Episode I - The Phantom Menace,4526.0,6.4,1999
2521,The Love Letter,17.0,5.9,1999
2522,Besieged,14.0,7.2,1998
2523,Frogs for Snakes,0.0,0.0,1998
2524,The Saragossa Manuscript,23.0,7.4,1965
2525,The Mummy,121.0,6.9,1932
2526,The Mummy,58.0,6.8,1959
2527,The Mummy's Curse,11.0,6.9,1944
2528,The Mummy's Ghost,10.0,6.9,1944
2529,The Mummy's Hand,14.0,6.5,1940
2530,The Mummy's Tomb,6.0,8.3,1942
2531,Mommie Dearest,55.0,6.6,1981
2532,Superman,1042.0,6.9,1978
2533,Superman II,642.0,6.5,1980
2534,Superman III,500.0,5.3,1983
2535,Superman IV: The Quest for Peace,327.0,4.1,1987
2536,Dracula,254.0,7.2,1931
2537,House of Dracula,20.0,5.8,1945
2538,House of Frankenstein,30.0,6.2,1944
2539,Frankenstein,295.0,7.3,1931
2540,Son of Frankenstein,42.0,7.0,1939
2541,The Ghost of Frankenstein,26.0,6.4,1942
2542,Frankenstein Meets the Wolf Man,42.0,6.5,1943
2543,The Curse of Frankenstein,61.0,6.8,1957
2544,Son of Dracula,16.0,6.8,1943
2545,The Wolf Man,124.0,7.2,1941
2546,Howling II: Stirba - Werewolf Bitch,41.0,4.2,1985
2547,Tarantula,58.0,6.1,1955
2548,The Rocky Horror Picture Show,703.0,7.4,1975
2549,The Flying Saucer,7.0,2.7,1950
2550,It Came from Hollywood,12.0,6.0,1982
2551,The Thing from Another World,142.0,6.9,1951
2552,It Came from Outer Space,52.0,6.2,1953
2553,The War of the Worlds,172.0,6.8,1953
2554,It Came from Beneath the Sea,20.0,5.4,1955
2555,Invasion of the Body Snatchers,277.0,7.3,1956
2556,Earth vs. the Flying Saucers,41.0,6.0,1956
2557,It Conquered the World,10.0,4.0,1956
2558,The Mole People,14.0,4.4,1956
2559,Swamp Thing,92.0,5.4,1982
2560,Pork Chop Hill,16.0,6.4,1959
2561,"Run Silent, Run Deep",31.0,7.5,1958
2562,Notting Hill,1309.0,7.0,1999
2563,The Thirteenth Floor,381.0,6.8,1999
2564,Eternity and a Day,14.0,7.1,1998
2565,The Loss of Sexual Innocence,9.0,5.2,1999
2566,Twice Upon a Yesterday,8.0,5.1,1998
2567,Instinct,149.0,6.3,1999
2568,Buena Vista Social Club,76.0,7.3,1999
2569,Desert Blue,9.0,5.5,1999
2570,A Place at the Table,7.0,6.9,2012
2574,Floating,4.0,5.0,1999
2575,Free Enterprise,10.0,5.8,1998
2576,Limbo,17.0,7.0,1999
2577,Austin Powers: The Spy Who Shagged Me,1034.0,6.1,1999
2578,Promise Her Anything,0.0,0.0,1999
2579,The Red Dwarf,3.0,5.5,1998
2580,The Red Violin,101.0,7.2,1998
2581,Tarzan,1715.0,7.1,1999
2582,The General's Daughter,209.0,6.1,1999
2583,Get Bruce!,3.0,6.2,1999
2584,An Ideal Husband,47.0,6.3,1999
2585,The Legend of 1900,554.0,8.1,1998
2586,Run Lola Run,672.0,7.2,1998
2587,Trekkies,22.0,6.3,1997
2588,Big Daddy,898.0,6.2,1999
2589,The Boys,3.0,6.8,1998
2590,The Dinner Game,408.0,7.7,1998
2591,My Son the Fanatic,3.0,4.7,1997
2592,Zone 39,2.0,5.0,1996
2593,Arachnophobia,445.0,6.2,1990
2594,"South Park: Bigger, Longer & Uncut",916.0,7.1,1999
2595,Wild Wild West,1042.0,5.1,1999
2596,Summer of Sam,115.0,6.3,1999
2597,Broken Vessels,2.0,6.0,1998
2598,Les Amants du Pont-Neuf,45.0,7.5,1991
2599,"Late August, Early September",4.0,7.3,1998
2600,American Pie,2358.0,6.4,1999
2601,Arlington Road,246.0,7.0,1999
2602,Autumn Tale,12.0,7.0,1998
2603,Muppets from Space,94.0,5.8,1999
2604,The Blair Witch Project,1090.0,6.3,1999
2605,My Life So Far,10.0,6.1,1999
2606,Eyes Wide Shut,1266.0,7.1,1999
2607,Lake Placid,251.0,5.5,1999
2608,The Wood,34.0,7.1,1999
2609,The Velocity of Gary,5.0,4.2,1999
2610,Ghostbusters,2431.0,7.3,1984
2611,Ghostbusters II,1131.0,6.3,1989
2612,Drop Dead Gorgeous,88.0,6.5,1999
2613,The Haunting,374.0,5.2,1999
2614,Inspector Gadget,322.0,4.3,1999
2615,Trick,24.0,6.7,1999
2616,Deep Blue Sea,616.0,5.6,1999
2617,Mystery Men,255.0,5.7,1999
2618,Runaway Bride,472.0,5.8,1999
2619,Twin Falls Idaho,12.0,7.1,1999
2620,The Killing,290.0,7.7,1956
2621,Killer's Kiss,101.0,6.2,1955
2622,Spartacus,472.0,7.3,1960
2623,Lolita,409.0,7.3,1962
2624,Barry Lyndon,521.0,7.7,1975
2625,The 400 Blows,363.0,8.0,1959
2626,Jules and Jim,163.0,7.6,1962
2627,Vibes,10.0,6.0,1988
2628,The Mosquito Coast,126.0,6.3,1986
2629,The Golden Child,311.0,5.6,1986
2630,Brighton Beach Memoirs,20.0,6.2,1986
2631,Assassination,11.0,5.6,1987
2632,Crimes of the Heart,17.0,6.0,1986
2633,The Color Purple,345.0,7.7,1985
2634,The Kindred,7.0,5.9,1987
2635,No Mercy,38.0,5.7,1986
2636,Ménage,25.0,6.0,1986
2637,Native Son,2.0,2.0,1986
2638,Otello,3.0,6.7,1986
2639,The Mission,295.0,7.1,1986
2640,Little Shop of Horrors,389.0,6.7,1986
2641,The Little Shop of Horrors,78.0,6.2,1960
2642,Allan Quatermain and the Lost City of Gold,70.0,4.6,1986
2643,The Morning After,22.0,5.9,1986
2644,Radio Days,131.0,7.0,1987
2645,From the Hip,12.0,5.8,1987
2646,Outrageous Fortune,32.0,5.6,1987
2647,The Bedroom Window,20.0,6.2,1987
2648,Deadtime Stories,7.0,4.6,1986
2649,Light of Day,10.0,5.4,1987
2650,Wanted: Dead or Alive,22.0,5.4,1987
2651,Frances,24.0,7.1,1982
2652,Plenty,8.0,5.9,1985
2653,Dick,67.0,5.7,1999
2654,The Gambler,0.0,0.0,1997
2655,The Iron Giant,1470.0,7.6,1999
2656,The Sixth Sense,3223.0,7.7,1999
2657,The Thomas Crown Affair,349.0,6.7,1999
2658,The Thomas Crown Affair,95.0,6.9,1968
2659,The Acid House,33.0,6.4,1998
2660,The Adventures of Sebastian Cole,2.0,6.5,1998
2661,Illuminata,7.0,6.3,1998
2662,Stiff Upper Lips,1.0,10.0,1998
2663,The Yards,98.0,6.0,2000
2664,Bowfinger,258.0,6.0,1999
2665,Brokedown Palace,115.0,6.2,1999
2666,Detroit Rock City,102.0,6.7,1999
2667,Alice and Martin,6.0,6.0,1998
2668,Better Than Chocolate,25.0,6.4,1999
2669,Head On,18.0,5.8,1998
2670,Marcello Mastroianni: I Remember,2.0,5.5,1997
2671,Cobra,3.0,6.7,1925
2672,Never Talk to Strangers,31.0,4.7,1995
2673,Heaven Can Wait,84.0,6.4,1978
2674,The Raven,56.0,6.3,1963
2675,The Tingler,34.0,6.4,1959
2676,The Pit and the Pendulum,67.0,6.9,1961
2677,The Tomb of Ligeia,43.0,5.8,1964
2678,The Masque of the Red Death,62.0,6.6,1964
2679,Tales of Terror,35.0,6.3,1962
2680,Haunted Honeymoon,45.0,5.4,1986
2681,Cat's Eye,140.0,5.9,1985
2682,And Now for Something Completely Different,139.0,7.1,1971
2683,Damien: Omen II,170.0,6.1,1978
2684,Omen III: The Final Conflict,132.0,5.5,1981
2685,Airplane!,1104.0,7.1,1980
2686,Airplane II: The Sequel,276.0,6.0,1982
2687,An American Werewolf in Paris,154.0,5.3,1997
2688,National Lampoon’s European Vacation,232.0,6.0,1985
2689,National Lampoon's Vacation,412.0,7.1,1983
2690,Funny Farm,74.0,6.0,1988
2691,Big,1022.0,6.9,1988
2692,Problem Child,152.0,5.5,1990
2693,Problem Child 2,101.0,5.2,1991
2694,Little Nemo: Adventures In Slumberland,36.0,7.1,1989
2695,Oscar and Lucinda,26.0,6.2,1997
2696,Tequila Sunrise,116.0,6.0,1988
2697,The Pelican Brief,377.0,6.3,1993
2698,A Christmas Story,352.0,7.4,1983
2699,Mickey Blue Eyes,142.0,5.3,1999
2700,Teaching Mrs. Tingle,94.0,5.3,1999
2701,Universal Soldier: The Return,138.0,4.2,1999
2702,Universal Soldier,382.0,5.8,1992
2703,Love Stinks,11.0,5.4,1999
2704,Perfect Blue,261.0,7.9,1997
2705,With Friends Like These...,0.0,0.0,1998
2706,In Too Deep,18.0,6.3,1999
2707,The Source,5.0,4.9,1999
2708,The Bat,18.0,5.9,1959
2709,Iron Eagle,64.0,4.8,1986
2710,Iron Eagle II,17.0,4.3,1988
2711,Iron Eagle III,15.0,3.6,1992
2712,Iron Eagle IV,8.0,3.2,1995
2713,Three Days of the Condor,234.0,7.2,1975
2714,Hamlet from the Lunt-Fontanne Theatre,2.0,6.0,1964
2715,Male and Female,1.0,5.0,1919
2716,Medicine Man,114.0,5.8,1992
2717,The Spiders - The Golden Sea,5.0,5.7,1919
2718,On the Ropes,1.0,5.0,1999
2719,Rosie,2.0,5.0,1998
2720,The 13th Warrior,524.0,6.4,1999
2721,The Astronaut's Wife,263.0,5.5,1999
2722,Dudley Do-Right,49.0,3.8,1999
2723,The Muse,31.0,5.3,1999
2724,Cabaret Balkan,4.0,7.3,1998
2725,A Dog Of Flanders,6.0,6.4,1999
2726,The Lost Son,6.0,5.8,1999
2727,Lucie Aubrac,8.0,5.9,1997
2728,The Very Thought of You,11.0,5.0,1998
2729,Chill Factor,30.0,5.3,1999
2730,Outside Providence,30.0,5.6,1999
2731,Bedrooms and Hallways,11.0,5.9,1998
2732,I Woke Up Early The Day I Died,3.0,4.7,1998
2733,West Beyrouth,5.0,8.8,1998
2734,Stigmata,248.0,6.0,1999
2735,Stir of Echoes,334.0,6.5,1999
2736,Best Laid Plans,30.0,6.0,1999
2737,"Black Cat, White Cat",160.0,7.7,1998
2738,The Minus Man,19.0,6.4,1999
2739,Whiteboyz,4.0,4.8,1999
2740,The Adventures of Milo and Otis,54.0,6.7,1986
2741,Only Angels Have Wings,47.0,7.0,1939
2742,Othello,35.0,6.5,1951
2743,Queens Logic,6.0,5.7,1991
2744,Public Access,3.0,5.5,1993
2745,A Soldier's Story,54.0,6.2,1984
2746,Alice Sweet Alice,58.0,6.4,1976
2747,Don't Look in the Basement,19.0,5.2,1973
2748,Nightmares,23.0,5.4,1983
2749,I Saw What You Did,11.0,5.8,1965
2750,Yellow Submarine,114.0,7.1,1968
2751,American Beauty,3438.0,7.9,1999
2752,Stop Making Sense,47.0,8.7,1984
2753,Blue Streak,359.0,6.1,1999
2754,For Love of the Game,88.0,6.3,1999
2755,Caligula,147.0,5.3,1979
2756,A Hard Day's Night,172.0,7.3,1964
2757,Splendor,14.0,5.5,1999
2758,Sugar Town,2.0,5.5,1999
2759,The Buddy Holly Story,33.0,7.5,1978
2760,Fright Night,279.0,6.9,1985
2761,Fright Night Part 2,81.0,6.4,1988
2762,La séparation,7.0,5.4,1994
2763,Barefoot in the Park,105.0,6.9,1967
2764,Deliverance,441.0,7.2,1972
2765,Excalibur,241.0,7.1,1981
2766,Lulu on the Bridge,5.0,5.8,1998
2767,The Pajama Game,12.0,6.3,1957
2768,Sommersby,82.0,6.0,1993
2769,Thumbelina,117.0,6.1,1994
2770,Tommy,69.0,6.5,1975
2771,Hell Night,32.0,5.6,1981
2772,Armour of God II: Operation Condor,109.0,7.0,1991
2773,Armour of God,111.0,6.8,1986
2774,Double Jeopardy,282.0,6.2,1999
2775,Jakob the Liar,91.0,6.1,1999
2776,Mumford,27.0,6.3,1999
2777,Dog Park,4.0,5.8,1998
2778,Guinevere,9.0,5.9,1999
2779,The Adventures of Elmo in Grouchland,14.0,6.3,1999
2780,Simon Sez,17.0,3.6,1999
2781,Drive Me Crazy,62.0,5.8,1999
2782,"Mystery, Alaska",71.0,6.0,1999
2783,Three Kings,709.0,6.6,1999
2784,"Happy, Texas",39.0,5.5,1999
2785,New Rose Hotel,24.0,5.0,1998
2786,Plunkett & MacLeane,49.0,6.1,1999
2787,Romance,0.0,0.0,2012
2788,Napoleon and Samantha,8.0,6.6,1972
2789,Alvarez Kelly,10.0,6.6,1966
2790,And the Ship Sails On,22.0,7.0,1983
2791,The Dark Half,91.0,5.4,1993
2792,Gulliver's Travels,26.0,6.3,1939
2793,Monkey Shines,58.0,6.2,1988
2794,Phantasm,166.0,6.5,1979
2795,Psycho II,128.0,6.0,1983
2796,Psycho III,79.0,5.4,1986
2797,Rain,8.0,5.1,1932
2798,Sanjuro,122.0,7.8,1962
2799,Random Hearts,63.0,5.3,1999
2800,Superstar,85.0,5.0,1999
2801,Boys Don't Cry,360.0,7.2,1999
2802,"Five Wives, Three Secretaries and Me",0.0,0.0,1999
2803,L'ennui,12.0,6.1,1998
2804,The Grandfather,11.0,6.7,1998
2805,The Limey,110.0,6.6,1999
2806,The Mating Habits of the Earthbound Human,18.0,6.4,1999
2807,Molly,14.0,5.5,1999
2808,Risky Business,340.0,6.4,1983
2809,Total Recall,1745.0,7.1,1990
2810,Body Heat,128.0,7.1,1981
2811,Ferris Bueller's Day Off,1340.0,7.5,1986
2812,The Year of Living Dangerously,84.0,6.8,1982
2813,Children of Paradise,79.0,7.9,1945
2814,High Plains Drifter,284.0,7.4,1973
2815,Hang 'em High,197.0,6.7,1968
2816,Citizen's Band,6.0,4.7,1977
2817,Drunken Master,178.0,7.2,1978
2818,The Conformist,129.0,7.6,1970
2819,Hairspray,102.0,6.6,1988
2820,Brief Encounter,123.0,7.6,1945
2821,The Razor's Edge,16.0,6.9,1984
2822,Reds,70.0,7.1,1981
2823,Return with Honor,2.0,4.0,1999
2824,Time of the Gypsies,53.0,7.2,1988
2825,Days of Heaven,236.0,7.6,1978
2826,The Fire Within,38.0,7.4,1963
2827,El Amor Brujo,4.0,7.0,1986
2828,The Lady Eve,74.0,7.5,1941
2829,Sullivan's Travels,100.0,8.0,1941
2830,The Palm Beach Story,46.0,7.3,1942
2831,Man Facing Southeast,12.0,7.1,1986
2832,Niagara,84.0,6.7,1953
2833,Gilda,113.0,7.6,1946
2834,South Pacific,29.0,6.3,1958
2835,Flashdance,313.0,6.1,1983
2836,Indochine,32.0,7.2,1992
2837,The Dirty Dozen,309.0,7.5,1967
2838,Mike's Murder,4.0,5.5,1984
2839,Help!,85.0,6.5,1965
2840,Goldfinger,1005.0,7.2,1964
2841,From Russia with Love,773.0,6.9,1963
2842,Dr. No,953.0,6.9,1962
2843,The Blue Lagoon,422.0,5.8,1980
2844,A Fistful of Dollars,909.0,7.6,1964
2845,Hard Eight,177.0,6.8,1996
2846,Home Alone 2: Lost in New York,2459.0,6.3,1992
2847,Penitentiary,8.0,4.9,1979
2848,Penitentiary II,1.0,3.0,1982
2849,Someone to Watch Over Me,38.0,5.8,1987
2850,Sparrows,9.0,8.0,1926
2851,Naturally Native,0.0,0.0,1999
2852,Fight Club,9678.0,8.3,1999
2853,Beefcake,10.0,4.6,1998
2854,The Story of Us,75.0,5.9,1999
2855,Fever Pitch,53.0,6.1,1997
2856,Joe the King,8.0,6.3,1999
2857,Julien Donkey-Boy,27.0,7.1,1999
2858,The Omega Code,17.0,4.4,1999
2859,The Straight Story,315.0,7.7,1999
2860,The Bad Seed,91.0,7.1,1956
2861,Time Bandits,255.0,6.6,1981
2862,A Man and a Woman,33.0,7.2,1966
2863,Fitzcarraldo,151.0,7.7,1982
2864,All That Jazz,88.0,7.3,1979
2865,Red Sorghum,36.0,7.0,1987
2866,Crimes and Misdemeanors,201.0,7.4,1989
2867,Bats,35.0,4.1,1999
2868,The Best Man,38.0,6.8,1999
2869,Bringing Out the Dead,228.0,6.6,1999
2870,Crazy in Alabama,13.0,6.5,1999
2871,Three to Tango,63.0,5.4,1999
2872,Body Shots,21.0,4.7,1999
2873,Men Cry Bullets,1.0,7.0,1998
2874,Brother Can You Spare A Dime,1.0,6.0,1975
2875,The Guardian,32.0,5.3,1990
2876,The Ipcress File,84.0,6.8,1965
2877,On Any Sunday,7.0,6.9,1971
2878,RoboCop,1494.0,7.1,1987
2879,RoboCop 2,498.0,5.6,1990
2880,Who Framed Roger Rabbit,1466.0,7.2,1988
2881,Melvin and Howard,18.0,6.8,1980
2882,For Your Eyes Only,497.0,6.3,1981
2883,Licence to Kill,549.0,5.9,1989
2884,Live and Let Die,540.0,6.4,1973
2885,Rawhead Rex,30.0,4.8,1986
2886,Thunderball,572.0,6.5,1965
2887,The City,9.0,7.6,1999
2888,House on Haunted Hill,211.0,5.5,1999
2889,Music of the Heart,49.0,6.3,1999
2890,Being John Malkovich,1124.0,7.3,1999
2891,Dreaming of Joseph Lees,2.0,6.0,1999
2892,Man Of The Century,0.0,0.0,1999
2893,Princess Mononoke,2041.0,8.2,1997
2894,The Suburbans,11.0,4.0,1999
2895,My Best Fiend,45.0,7.6,1999
2896,Train of Life,48.0,7.4,1998
2897,The Bachelor,84.0,4.5,1999
2898,The Bone Collector,843.0,6.5,1999
2899,The Insider,489.0,7.3,1999
2900,American Movie,57.0,7.7,1999
2901,Last Night,41.0,7.0,1998
2902,Portraits Chinois,2.0,7.5,1996
2903,Rosetta,52.0,7.2,1999
2904,"They Shoot Horses, Don't They?",51.0,7.4,1969
2905,Battling Butler,13.0,5.7,1926
2906,Bride of Re-Animator,70.0,6.1,1989
2907,Bustin' Loose,15.0,5.7,1981
2908,Coma,88.0,6.4,1978
2909,Creepshow,228.0,6.7,1982
2910,Creepshow 2,133.0,5.9,1987
2911,Re-Animator,263.0,7.0,1985
2912,Drugstore Cowboy,117.0,7.0,1989
2913,Falling Down,837.0,7.2,1993
2914,The Funhouse,69.0,5.8,1981
2915,The General,240.0,8.0,1926
2916,My Best Girl,2.0,8.0,1927
2917,Piranha,120.0,5.7,1978
2918,Rough Night in Jericho,5.0,7.3,1967
2919,Slaughterhouse,12.0,5.3,1987
2920,The Taming of the Shrew,35.0,6.9,1967
2921,Nighthawks,87.0,6.4,1981
2922,Yojimbo,334.0,8.0,1961
2923,Repossessed,44.0,4.5,1990
2924,The Omega Man,147.0,6.0,1971
2925,Spaceballs,924.0,6.7,1987
2926,Robin Hood,1155.0,7.0,1973
2927,Mister Roberts,43.0,7.3,1955
2928,Quest for Fire,111.0,7.2,1981
2929,Little Big Man,128.0,7.5,1970
2930,A Face in the Crowd,48.0,7.4,1957
2931,Trading Places,763.0,7.1,1983
2932,Meatballs,79.0,5.9,1979
2933,Meatballs Part II,13.0,3.5,1984
2934,Meatballs III: Summer Job,14.0,4.4,1986
2935,Meatballs 4,4.0,3.3,1992
2936,Dead Again,81.0,6.7,1991
2937,Peter's Friends,46.0,6.7,1992
2938,The Incredibly True Adventure of Two Girls In Love,13.0,5.7,1995
2939,Experience Preferred...But Not Essential,2.0,7.5,1982
2940,Under the Rainbow,7.0,4.9,1981
2941,How I Won the War,10.0,5.6,1967
2942,Light It Up,7.0,6.6,1999
2943,Anywhere But Here,67.0,5.9,1999
2944,Dogma,842.0,6.8,1999
2945,The Messenger: The Story of Joan of Arc,373.0,6.2,1999
2946,Pokémon: The First Movie: Mewtwo Strikes Back,336.0,6.7,1998
2947,Felicia's Journey,24.0,6.3,1999
2948,Oxygen,15.0,5.4,1999
2949,Where's Marlowe?,2.0,5.5,1998
2950,The Ape,6.0,5.3,1940
2951,British Intelligence,5.0,5.8,1940
2952,The Commitments,132.0,7.4,1991
2953,Holiday Inn,55.0,7.1,1942
2954,The Longest Day,237.0,7.3,1962
2955,Poison Ivy,85.0,5.2,1992
2956,Poison Ivy: The New Seduction,28.0,4.1,1997
2957,Ten Benny,1.0,10.0,1995
2958,Tora! Tora! Tora!,150.0,6.9,1970
2959,Women on the Verge of a Nervous Breakdown,149.0,7.6,1988
2960,The Verdict,132.0,7.4,1982
2961,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,12.0,6.9,1972
2962,The Adventures of Buckaroo Banzai Across the 8th Dimension,103.0,6.3,1984
2963,Stand and Deliver,60.0,7.3,1988
2964,Moonstruck,173.0,6.7,1987
2965,The Sandpiper,16.0,5.7,1965
2966,Jeremiah Johnson,126.0,7.5,1972
2967,Repulsion,218.0,7.5,1965
2968,Irma la Douce,74.0,7.1,1963
2969,42 Up,9.0,6.6,1998
2970,Liberty Heights,19.0,6.7,1999
2971,Mansfield Park,81.0,6.7,1999
2972,"Goodbye, 20th Century",2.0,7.5,1998
2973,Sleepy Hollow,1774.0,6.9,1999
2974,The World Is Not Enough,878.0,6.0,1999
2975,All About My Mother,337.0,7.4,1999
2976,Home Page,0.0,0.0,1998
2977,The Living Dead Girl,18.0,6.0,1982
2978,Babes in Toyland,28.0,6.6,1934
2979,Scrooged,395.0,6.7,1988
2980,Harvey,159.0,7.7,1950
2981,Bicycle Thieves,404.0,8.0,1948
2982,Matewan,33.0,7.2,1987
2983,Kagemusha,135.0,7.7,1980
2984,47 Samurai,20.0,7.1,1962
2985,McCabe & Mrs. Miller,82.0,7.3,1971
2986,Maurice,62.0,7.1,1987
2987,The Grapes of Wrath,211.0,7.8,1940
2988,My Man Godfrey,4.0,6.4,1957
2989,The Shop Around the Corner,107.0,7.9,1940
2990,The Natural,162.0,7.0,1984
2991,Shampoo,41.0,6.3,1975
2992,A River Runs Through It,241.0,7.0,1992
2993,Fatal Attraction,305.0,6.6,1987
2994,Jagged Edge,63.0,6.5,1985
2995,Stanley & Iris,26.0,5.7,1990
2996,Midnight Run,241.0,7.2,1988
2997,Awakenings,568.0,7.6,1990
2998,Come See the Paradise,14.0,6.1,1990
2999,Backdraft,360.0,6.4,1991
3000,The Fisher King,346.0,7.2,1991
3001,The River,21.0,6.5,1984
3002,Country,6.0,6.3,1984
3003,Places in the Heart,31.0,7.1,1984
3004,"'night, Mother",6.0,5.8,1986
3005,End of Days,488.0,5.5,1999
3006,Toy Story 2,3914.0,7.3,1999
3007,Flawless,56.0,5.9,1999
3008,Miss Julie,3.0,6.3,1999
3009,Ride with the Devil,49.0,6.6,1999
3010,Tumbleweeds,11.0,6.2,1999
3011,A Bay of Blood,53.0,6.4,1971
3012,The Distinguished Gentleman,78.0,5.7,1992
3013,The Hitch-Hiker,28.0,6.6,1953
3014,Santa Fe Trail,5.0,3.6,1940
3015,Lauderdale,3.0,1.7,1989
3016,Agnes Browne,9.0,6.3,1999
3017,The End of the Affair,56.0,6.6,1999
3018,The End of the Affair,2.0,6.3,1955
3019,Holy Smoke!,47.0,5.3,1999
3020,A Map of the World,8.0,6.4,1999
3021,Sweet and Lowdown,109.0,6.8,1999
3022,The Bonfire of the Vanities,113.0,5.3,1990
3023,Broadway Damage,1.0,6.0,1997
3024,Daddy-Long-Legs,5.0,7.4,1919
3025,Go West,19.0,6.8,1925
3026,Grand Illusion,126.0,7.5,1937
3027,The Great Santini,21.0,6.9,1979
3028,The James Dean Story,6.0,6.2,1957
3029,The Sea Wolves,19.0,5.7,1980
3030,Stealing Home,15.0,5.9,1988
3031,Tarzan the Fearless,4.0,2.8,1933
