,title,release_year,runtime
3971,The Brave Little Toaster,1987,90.0
3972,Can't Buy Me Love,1987,94.0
3973,Cherry 2000,1987,99.0
3974,Cop,1988,110.0
3975,Critical Condition,1987,100.0
3976,Cry Freedom,1987,157.0
3977,Curse,1987,85.0
3978,Dead of Winter,1987,100.0
3979,The Dead,1987,83.0
3980,Death Before Dishonor,1987,91.0
3981,Disorderlies,1987,86.0
3982,Dogs in Space,1986,103.0
3983,Eddie Murphy Raw,1987,90.0
3984,Empire of the Sun,1987,153.0
3985,Ernest Goes to Camp,1987,92.0
3986,The Evil Dead,1981,85.0
3987,Extreme Prejudice,1987,101.0
3988,Family Viewing,1987,86.0
3989,Five Corners,1987,90.0
3990,Flowers in the Attic,1987,93.0
3991,The Fourth Protocol,1987,119.0
3992,Gardens of Stone,1987,111.0
3993,Julia and Julia,1987,98.0
3994,The Glass Menagerie,1987,134.0
3995,"Good Morning, Babylon",1987,117.0
3996,Hiding Out,1987,98.0
3997,Hollywood Shuffle,1987,78.0
3998,Hope and Glory,1987,113.0
3999,Hot Pursuit,1987,93.0
4000,Housekeeping,1987,116.0
4001,Hunk,1987,102.0
4002,Innerspace,1987,120.0
4003,Ironweed,1987,143.0
4004,Ishtar,1987,107.0
4005,Jaws: The Revenge,1987,89.0
4006,Leonard Part 6,1987,85.0
4007,Less Than Zero,1987,98.0
4008,Like Father Like Son,1987,96.0
4009,The Lost Boys,1987,97.0
4010,Made in Heaven,1987,103.0
4011,Maid to Order,1987,93.0
4012,Making Mr. Right,1987,98.0
4013,Mannequin,1987,89.0
4014,Masters of the Universe,1987,106.0
4015,Million Dollar Mystery,1987,95.0
4016,The Monster Squad,1987,82.0
4017,A Month in the Country,1987,96.0
4018,Morgan Stewart's Coming Home,1987,96.0
4019,My Demon Lover,1987,90.0
4020,No Man's Land,1987,106.0
4021,North Shore,1987,96.0
4022,Head Over Heels,2001,86.0
4023,Left Behind,2000,96.0
4024,Valentine,2001,96.0
4025,In the Mood for Love,2000,98.0
4026,Fever,1999,110.0
4027,The Million Dollar Hotel,2000,122.0
4028,Nico and Dani,2000,91.0
4029,Hannibal,2001,131.0
4030,Saving Silverman,2001,90.0
4031,Signs & Wonders,2001,105.0
4032,The Taste of Others,2000,112.0
4033,Vatel,2000,125.0
4034,Down to Earth,2001,87.0
4035,Recess: School's Out,2001,83.0
4036,Sweet November,2001,119.0
4037,Company Man,2000,86.0
4038,The Price of Milk,2000,87.0
4039,Monkeybone,2001,93.0
4040,3000 Miles to Graceland,2001,125.0
4041,The Widow of Saint-Pierre,2000,112.0
4042,The Mexican,2001,123.0
4043,See Spot Run,2001,94.0
4044,Carman: The Champion,2001,90.0
4045,The Caveman's Valentine,2001,105.0
4046,"Me, You, Them",2000,104.0
4047,Series 7: The Contenders,2001,86.0
4048,15 Minutes,2001,120.0
4049,Get Over It,2001,87.0
4050,Blow Dry,2001,91.0
4051,Hit and Runway,1999,108.0
4052,Long Night's Journey Into Day,2000,94.0
4053,Simon Magus,1999,101.0
4054,When Brendan Met Trudy,2000,95.0
4055,Avalon,1990,126.0
4056,Gray's Anatomy,1996,80.0
4057,Madadayo,1993,134.0
4058,The Mirror Crack'd,1980,105.0
4059,Of Mice and Men,1939,106.0
4060,Pixote,1981,128.0
4061,Reform School Girls,1986,94.0
4062,Tapeheads,1988,93.0
4063,Tuff Turf,1985,112.0
4064,The Unbelievable Truth,1989,90.0
4065,The Bishop's Wife,1947,109.0
4066,Elvis That's the Way It Is,1970,109.0
4067,The Fortune Cookie,1966,125.0
4068,Lilies of the Field,1963,94.0
4069,Hans Christian Andersen,1952,112.0
4070,The Greatest Story Ever Told,1965,199.0
4071,Elmer Gantry,1960,146.0
4072,Alfie,1966,114.0
4073,Demetrius and the Gladiators,1954,101.0
4074,The Fantasticks,1995,86.0
4075,I Know Where I'm Going!,1945,91.0
4076,The Abominable Dr. Phibes,1971,94.0
4077,"Die, Monster, Die!",1965,80.0
4078,Real Life,1979,99.0
4079,Battle Beyond the Stars,1980,104.0
4080,Death Warrant,1990,93.0
4081,Double Impact,1991,110.0
4082,The End,1978,110.0
4083,Fuzz,1972,93.0
4084,Harley Davidson and the Marlboro Man,1991,98.0
4085,Losin' It,1983,100.0
4086,Mermaids,1990,110.0
4087,The Mighty Quinn,1989,98.0
4088,Unmade Beds,1997,95.0
4089,Rated X,2000,115.0
4090,Manhunter,1986,119.0
4091,Reversal of Fortune,1990,111.0
4092,Death on the Nile,1978,140.0
4093,DeepStar Six,1989,105.0
4094,Revenge of the Nerds,1984,90.0
4095,Revenge of the Nerds II: Nerds in Paradise,1987,98.0
4096,Longtime Companion,1990,96.0
4097,4 Little Girls,1997,102.0
4098,River's Edge,1986,99.0
4099,Girls Just Want to Have Fun,1985,87.0
4100,The Longest Yard,1974,121.0
4101,Necessary Roughness,1991,108.0
4102,C.H.U.D.,1984,88.0
4103,Enemy at the Gates,2001,131.0
4104,Exit Wounds,2001,101.0
4105,The Dish,2000,101.0
4106,Memento,2000,113.0
4107,The Brothers,2001,106.0
4108,Heartbreakers,2001,123.0
4109,Say It Isn't So,2001,95.0
4110,Too Much Sleep,1997,88.0
4111,Someone Like You...,2001,97.0
4112,Spy Kids,2001,88.0
4113,Tomcats,2001,95.0
4114,The Tailor of Panama,2001,109.0
4115,Amores perros,2000,154.0
4116,Keep the River on Your Right: A Modern Cannibal Tale,2000,82.0
4117,The Gleaners & I,2000,82.0
4118,Along Came a Spider,2001,104.0
4119,Blow,2001,124.0
4120,Just Visiting,2001,88.0
4121,Pokémon: Spell of the Unknown,2000,93.0
4125,Beautiful Creatures,2000,85.0
4126,Brigham City,2001,119.0
4127,The Day I Became a Woman,2000,74.0
4128,Shadow Magic,2000,116.0
4129,Bridget Jones's Diary,2001,97.0
4130,Joe Dirt,2001,91.0
4131,Josie and the Pussycats,2001,98.0
4132,Kingdom Come,2011,88.0
4133,The Body,2001,109.0
4134,Chopper,2000,94.0
4135,The Circle,2000,90.0
4136,Lakeboat,2000,98.0
4137,Crocodile Dundee in Los Angeles,2001,92.0
4138,Freddy Got Fingered,2001,87.0
4139,The Center of the World,2001,88.0
4140,The Girl,2001,0.0
4141,The Low Down,2001,96.0
4142,The Luzhin Defence,2000,109.0
4143,The Visit,2000,107.0
4144,Lilies,1996,95.0
4145,Scarface,1983,170.0
4146,Days of Wine and Roses,1962,117.0
4147,Driven,2001,116.0
4148,The Forsaken,2001,90.0
4149,One Night at McCool's,2001,93.0
4150,Town & Country,2001,104.0
4151,Rat,2001,89.0
4152,The Mummy Returns,2001,130.0
4153,Eureka,2000,217.0
4154,Tuvalu,1999,92.0
4155,Under the Sand,2000,92.0
4156,Cleopatra,1963,248.0
4157,Krull,1983,117.0
4158,Lost in America,1985,91.0
4159,The Lost World,1925,106.0
4160,Triumph of the Will,1935,114.0
4161,True Believer,1989,105.0
4162,The World According to Garp,1982,136.0
4163,Candy,1968,124.0
4164,Fellini Satyricon,1969,129.0
4165,Roma,1972,128.0
4166,Frankie and Johnny,1966,87.0
4167,Frankie and Johnny,1991,118.0
4168,A Home of Our Own,1993,104.0
4169,Paris When It Sizzles,1964,110.0
4170,Pola X,1999,134.0
4171,City of Women,1980,149.0
4172,For the Boys,1991,138.0
4173,Nine to Five,1980,110.0
4174,Norma Rae,1979,110.0
4175,Summer Rental,1985,87.0
4176,"The 5,000 Fingers of Dr. T.",1953,89.0
4177,Catchfire,1990,98.0
4178,Love Story,1970,99.0
4179,Pelle the Conqueror,1987,157.0
4180,Rififi,1955,122.0
4181,A Knight's Tale,2001,132.0
4182,Bread and Roses,2000,110.0
4183,Calle 54,2000,105.0
4184,The King Is Alive,2000,110.0
4185,Sordid Lives,2001,111.0
4186,Startup.com,2001,107.0
4187,Angel Eyes,2001,102.0
4188,Shrek,2001,90.0
4189,Fast Food Fast Women,2000,95.0
4190,Moulin Rouge!,2001,127.0
4191,Little Brothers,1999,0.0
4192,Pearl Harbor,2001,183.0
4193,Bloody Angels,1998,100.0
4194,Himalaya,1999,108.0
4195,The Man Who Cried,2000,96.0
4196,Our Song,2000,95.0
4197,Gabriela,2001,0.0
4198,Ice Castles,1978,108.0
4199,Love Potion No. 9,1992,97.0
4200,Postcards from the Edge,1990,101.0
4201,Apache,1954,91.0
4202,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,123.0
4203,City Slickers,1991,112.0
4204,Eight Men Out,1988,119.0
4205,The Horse Soldiers,1959,115.0
4206,The Kentuckian,1955,104.0
4207,La Notte,1961,115.0
4208,Mississippi Burning,1988,128.0
4209,The Magnificent Seven,1960,128.0
4210,Return of the Seven,1966,95.0
4211,Rio Bravo,1959,141.0
4212,The Scarlet Empress,1934,104.0
4213,Semi-Tough,1977,108.0
4214,Suspect,1987,121.0
4215,Throw Momma from the Train,1987,88.0
4216,Yi Yi,2000,173.0
4217,Midnight Madness,1980,112.0
4218,Nightwatch,1994,107.0
4219,The Sand Pebbles,1966,182.0
4220,Twelve O'Clock High,1949,132.0
4221,Von Ryan's Express,1965,117.0
4222,The Animal,2001,84.0
4223,What's the Worst That Could Happen?,2001,94.0
4224,Big Eden,2000,117.0
4225,Evolution,2001,101.0
4226,Swordfish,2001,99.0
4227,The Anniversary Party,2001,115.0
4228,Bride of the Wind,2001,99.0
4229,Divided We Fall,2000,120.0
4230,Whatever Happened to Harold Smith?,2000,95.0
4231,Catch-22,1970,121.0
4232,Forgotten Silver,1995,53.0
4233,Point Break,1991,120.0
4234,Shag,1989,98.0
4235,Uncommon Valor,1983,105.0
4236,Unlawful Entry,1992,117.0
4237,Youngblood,1986,110.0
4238,Gentlemen Prefer Blondes,1953,91.0
4239,How to Marry a Millionaire,1953,95.0
4240,Macabre,1958,72.0
4241,The Seven Year Itch,1955,105.0
4242,There's No Business Like Show Business,1954,117.0
4243,Tootsie,1982,116.0
4244,The Boys Next Door,1985,91.0
4245,Too Late the Hero,1970,145.0
4246,The Trio,1998,0.0
4247,Pavilion of Women,2001,116.0
4248,Atlantis: The Lost Empire,2001,95.0
4249,Lara Croft: Tomb Raider,2001,100.0
4250,Dr. Dolittle 2,2001,87.0
4251,The Fast and the Furious,2001,106.0
4252,A.I. Artificial Intelligence,2001,146.0
4253,Baby Boy,2001,130.0
4254,Crazy/Beautiful,2001,99.0
4255,Pootie Tang,2001,81.0
4256,Snow days,1999,90.0
4257,Funny Felix,2000,95.0
4258,Down from the Mountain,2001,98.0
4259,Russian Doll,2001,90.0
4260,Sexy Beast,2000,89.0
4261,"South of Heaven, West of Hell",2000,104.0
4262,The Princess and the Warrior,2000,135.0
4263,The Closet,2001,84.0
4264,Wolves,1999,40.0
4265,The Crimson Rivers,2000,106.0
4266,Lumumba,2000,115.0
4267,Pandaemonium,2001,124.0
4268,Cats & Dogs,2001,87.0
4269,Kiss of the Dragon,2001,98.0
4270,Scary Movie 2,2001,83.0
4271,Lost and Delirious,2001,103.0
4272,Baise-moi,2000,77.0
4273,The Vertical Ray of the Sun,2000,112.0
4274,Alice,1990,102.0
4275,Another Woman,1988,84.0
4276,Beach Blanket Bingo,1965,98.0
4277,Big Deal on Madonna Street,1958,106.0
4278,The Cannonball Run,1981,95.0
4279,Cannonball Run II,1984,108.0
4280,Speed Zone,1989,94.0
4281,Diary of a Chambermaid,1964,101.0
4282,Donovan's Brain,1953,83.0
4283,Donovan's Reef,1963,109.0
4284,Dr. Goldfoot and the Bikini Machine,1965,88.0
4285,House of Usher,1960,79.0
4286,Faust,1926,116.0
4287,The Last Laugh,1924,90.0
4288,The Man Who Shot Liberty Valance,1962,123.0
4289,Salvador,1986,123.0
4290,September,1987,82.0
4291,Shadows and Fog,1991,85.0
4292,Something Wild,1986,113.0
4293,The Sons of Katie Elder,1965,122.0
4294,The Thing with Two Heads,1972,91.0
4295,Village of the Giants,1965,81.0
4296,X: The Man with the X-Ray Eyes,1963,79.0
4297,Nice Dreams,1981,88.0
4298,The Day the Earth Caught Fire,1961,98.0
4299,The House by the Cemetery,1981,82.0
4300,Things Are Tough All Over,1982,90.0
4301,All That Heaven Allows,1955,89.0
4302,The Barefoot Contessa,1954,128.0
4303,The Blackout,1997,98.0
4304,Cries and Whispers,1972,91.0
4305,The Entertainer,1960,96.0
4306,The Garden of the Finzi-Continis,1970,95.0
4307,Howling III: The Marsupials,1987,94.0
4308,Kiss Me Deadly,1955,106.0
4309,The Lion in Winter,1968,134.0
4310,The Misfits,1961,124.0
4311,Moby Dick,1956,116.0
4312,Popcorn,1991,91.0
4313,Rembrandt,1936,85.0
4314,Sweet Smell of Success,1957,96.0
4315,Written on the Wind,1956,99.0
4316,The 10th Victim,1965,92.0
4317,Colonel Redl,1985,144.0
4318,Obsession,1976,98.0
4319,Suspiria,1977,98.0
4320,Fist of Fury,1972,108.0
4321,Christiane F.,1981,138.0
4322,The Big Boss,1971,100.0
4323,Game of Death,1978,94.0
4324,The Last Dragon,1985,108.0
4325,Outland,1981,112.0
4326,The Way of the Dragon,1972,100.0
4327,T-Rex: Back to the Cretaceous,1998,45.0
4328,Final Fantasy: The Spirits Within,2001,106.0
4329,Legally Blonde,2001,96.0
4330,The Score,2001,124.0
4331,Adanggaman,2000,90.0
4332,Bully,2001,113.0
4333,Jump Tomorrow,2001,97.0
4334,Made,2001,94.0
4335,Michael Jordan to the Max,2000,46.0
4336,More,1998,6.0
4337,Thrill Ride: The Science of Fun,1997,0.0
4338,Haunted Castle,2001,38.0
4339,All Access: Front Row. Backstage. Live!,2001,0.0
4340,Africa: The Serengeti,1994,40.0
4341,Alaska: Spirit of the Wild,1998,40.0
4342,Encounter in the Third Dimension,1999,40.0
4343,Siegfried & Roy: The Magic Box,1999,50.0
4344,18 Again!,1988,93.0
4345,1969,1988,95.0
4346,The Accidental Tourist,1988,121.0
4347,The Accused,1988,111.0
4348,Above the Law,1988,99.0
4349,The Adventures of Baron Munchausen,1988,126.0
4350,Apartment Zero,1988,124.0
4351,Appointment with Death,1988,102.0
4352,Ariel,1988,69.0
4353,Arthur 2: On the Rocks,1988,113.0
4354,Bad Dreams,1988,86.0
4355,Bat*21,1988,105.0
4356,Beaches,1988,123.0
4357,The Beast of War,1988,111.0
4358,Big Business,1988,97.0
4359,Big Top Pee-wee,1988,86.0
4360,Biloxi Blues,1988,106.0
4361,Bird,1988,161.0
4362,The Blob,1988,95.0
4363,The Boost,1988,95.0
4364,"Bright Lights, Big City",1988,107.0
4365,Caddyshack II,1988,98.0
4366,Camille Claudel 1915,2013,95.0
4370,Casual Sex?,1988,88.0
4371,Clean and Sober,1988,124.0
4372,Cocktail,1988,104.0
4373,Colors,1988,120.0
4374,Coming to America,1988,116.0
4375,The Couch Trip,1988,97.0
4376,Criminal Law,1988,117.0
4377,Critters,1986,82.0
4378,Critters 2,1988,86.0
4379,Critters 3,1991,86.0
4380,Crossing Delancey,1988,97.0
4381,D.O.A.,1988,96.0
4382,Dead Heat,1988,86.0
4383,The Dead Pool,1988,91.0
4384,Dirty Rotten Scoundrels,1988,110.0
4385,Drowning by Numbers,1988,118.0
4386,"Elvira, Mistress of the Dark",1988,96.0
4387,Ernest Saves Christmas,1988,95.0
4388,Everybody's All-American,1988,127.0
4389,Feds,1988,90.0
4390,For Keeps,1988,98.0
4391,Frantic,1988,120.0
4392,Fresh Horses,1988,105.0
4393,Gorillas in the Mist,1988,129.0
4394,The Great Outdoors,1988,91.0
4395,Heartbreak Hotel,1988,97.0
4396,High Spirits,1988,99.0
4397,Hot to Trot,1988,88.0
4398,The House on Carroll Street,1988,101.0
4399,Howling IV: The Original Nightmare,1988,94.0
4400,Imagine: John Lennon,1988,100.0
4401,Johnny Be Good,1988,91.0
4402,Lady in White,1988,112.0
4403,The Lair of the White Worm,1988,93.0
4404,The Land Before Time,1988,69.0
4405,License to Drive,1988,90.0
4406,Little Nikita,1988,98.0
4407,Masquerade,1988,91.0
4408,The Milagro Beanfield War,1988,117.0
4409,Moon Over Parador,1988,103.0
4410,Moving,1988,89.0
4411,My Stepmother is an Alien,1988,108.0
4412,A Night in the Life of Jimmy Reardon,1988,90.0
4413,Off Limits,1988,102.0
4414,Bagdad Cafe,1987,95.0
4415,Permanent Record,1988,91.0
4416,Red Heat,1988,104.0
4417,Return of the Living Dead Part II,1988,89.0
4418,The Return of the Living Dead,1985,91.0
4419,Return to Snowy River,1988,110.0
4420,The Man from Snowy River,1982,104.0
4421,Rocket Gibraltar,1988,99.0
4422,Running on Empty,1988,116.0
4423,Salome's Last Dance,1988,89.0
4424,Salsa,1988,98.0
4425,Satisfaction,1988,92.0
4426,The Serpent and the Rainbow,1988,98.0
4427,Shakedown,1988,112.0
4428,Shoot to Kill,1988,109.0
4429,Short Circuit 2,1988,110.0
4430,Short Circuit,1986,98.0
4431,The Vanishing,1988,107.0
4432,Stormy Monday,1988,93.0
4433,Sunset,1988,102.0
4434,Sweet Hearts Dance,1988,101.0
4435,Switching Channels,1988,105.0
4436,The Telephone,1988,78.0
4437,Tetsuo: The Iron Man,1989,67.0
4438,They Live,1988,94.0
4439,To Kill a Priest,1988,117.0
4440,Torch Song Trilogy,1988,120.0
4441,Track 29,1988,86.0
4442,Tucker: The Man and His Dream,1988,110.0
4443,Twins,1988,107.0
4444,Vice Versa,1988,98.0
4445,Watchers,1988,91.0
4446,Waxwork,1988,95.0
4447,Without a Clue,1988,107.0
4448,Young Einstein,1988,91.0
4449,Always,1989,122.0
4450,American Ninja,1985,95.0
4451,American Ninja 2: The Confrontation,1987,90.0
4452,American Ninja 3: Blood Hunt,1989,89.0
4453,Best of the Best 2,1993,101.0
4454,The Big Picture,1989,100.0
4455,Bill & Ted's Excellent Adventure,1989,90.0
4456,Black Rain,1989,125.0
4457,Blaze,1989,117.0
4458,Blind Fury,1989,86.0
4459,Breaking In,1989,94.0
4460,C.H.U.D. II: Bud the Chud,1989,85.0
4461,Casualties of War,1989,113.0
4462,Chances Are,1989,108.0
4463,Cookie,1989,94.0
4464,Cyborg,1989,86.0
4465,Dad,1989,117.0
4466,Dead Bang,1989,105.0
4467,Disorganized Crime,1989,98.0
4468,Dream a Little Dream,1989,114.0
4469,The Dream Team,1989,113.0
4470,A Dry White Season,1989,97.0
4471,Earth Girls Are Easy,1988,100.0
4472,Eddie and the Cruisers II: Eddie Lives!,1989,104.0
4473,Eddie and the Cruisers,1983,95.0
4474,Enemies: A Love Story,1989,119.0
4475,Erik the Viking,1989,107.0
4476,The Experts,1989,94.0
4477,Family Business,1989,110.0
4478,Farewell to the King,1989,117.0
4479,Fat Man and Little Boy,1989,127.0
4480,The Girl in a Swing,1988,119.0
4481,Gleaming the Cube,1989,109.0
4482,Going Overboard,1989,99.0
4483,Great Balls of Fire!,1989,108.0
4484,Gross Anatomy,1989,109.0
4485,Happy Together,1989,102.0
4486,Harlem Nights,1989,116.0
4487,Her Alibi,1989,94.0
4488,Homer and Eddie,1989,102.0
4489,How to Get Ahead in Advertising,1989,94.0
4490,Immediate Family,1989,95.0
4491,In Country,1989,120.0
4492,An Innocent Man,1989,113.0
4493,Jacknife,1989,102.0
4494,The January Man,1989,97.0
4495,Johnny Handsome,1989,94.0
4496,Jesus of Montreal,1989,119.0
4497,K-9,1989,101.0
4498,Kickboxer,1989,97.0
4499,Last Exit to Brooklyn,1989,102.0
4500,Lean On Me,1989,108.0
4501,Let It Ride,1989,90.0
4502,Leviathan,1989,98.0
4503,Little Monsters,1989,102.0
4504,Lock Up,1989,115.0
4505,Look Who's Talking,1989,93.0
4506,Loverboy,1989,98.0
4507,Major League,1989,107.0
4508,Meet the Feebles,1989,94.0
4509,Millennium,1989,108.0
4510,Miracle Mile,1989,87.0
4511,Miss Firecracker,1989,102.0
4512,New York Stories,1989,124.0
4513,Next of Kin,1989,108.0
4514,No Holds Barred,1989,93.0
4515,Old Gringo,1989,120.0
4516,The Package,1989,108.0
4517,Parents,1989,81.0
4518,Penn & Teller Get Killed,1989,89.0
4519,Pink Cadillac,1989,122.0
4520,The Punisher,1989,89.0
4521,Red Scorpion,1988,105.0
4522,Jurassic Park III,2001,92.0
4523,America's Sweethearts,2001,102.0
4524,Brother,2000,114.0
4525,Ghost World,2001,111.0
4526,Hedwig and the Angry Inch,2001,95.0
4527,Planet of the Apes,2001,119.0
4528,Bread and Tulips,2000,114.0
4529,Cure,1997,111.0
4530,Greenfingers,2001,91.0
4531,Jackpot,2001,97.0
4532,The Monkey's Mask,2000,93.0
4533,Wet Hot American Summer,2001,97.0
4534,Relentless,1989,92.0
4535,Renegades,1989,106.0
4536,The Return of Swamp Thing,1989,84.0
4537,The Return of the Musketeers,1989,102.0
4538,Road House,1989,114.0
4539,Romero,1989,105.0
4540,Rosalie Goes Shopping,1989,94.0
4541,Rude Awakening,1989,98.0
4542,Santa Sangre,1989,123.0
4543,Scandal,1989,115.0
4544,Scenes from the Class Struggle in Beverly Hills,1989,95.0
4545,Sea of Love,1989,113.0
4546,"See No Evil, Hear No Evil",1989,103.0
4547,She's Out of Control,1989,97.0
4548,Shirley Valentine,1989,108.0
4549,Shocker,1989,109.0
4550,Skin Deep,1989,97.0
4551,Slaves of New York,1989,124.0
4552,Some Girls,1988,94.0
4553,Stepfather II: Make Room For Daddy,1989,93.0
4554,The Stepfather,1987,89.0
4555,Sweetie,1989,97.0
4556,The Tall Guy,1989,92.0
4557,Tango & Cash,1989,104.0
4558,Tap,1989,111.0
4559,Three Fugitives,1989,96.0
4560,Troop Beverly Hills,1989,105.0
4561,Turner & Hooch,1989,100.0
4562,UHF,1989,97.0
4563,Uncle Buck,1989,100.0
4564,Vampire's Kiss,1988,103.0
4565,The War of the Roses,1989,116.0
4566,Warlock,1989,103.0
4567,The Wizard,1989,100.0
4568,Worth Winning,1989,103.0
4569,Warlock: The Armageddon,1993,98.0
4570,Weekend at Bernie's II,1993,97.0
4571,Billy Liar,1963,93.0
4572,Black Robe,1991,101.0
4573,The Cat o' Nine Tails,1971,110.0
4574,The Cotton Club,1984,127.0
4575,Def-Con 4,1985,88.0
4576,The Hotel New Hampshire,1984,109.0
4577,Idiot Box,1996,85.0
4578,Left Luggage,1998,100.0
4579,Who'll Stop the Rain,1978,126.0
4580,"Zorro, The Gay Blade",1981,93.0
4581,Basket Case,1982,91.0
4582,Orphans,1998,101.0
4583,Original Sin,2001,118.0
4584,The Princess Diaries,2001,115.0
4585,Rush Hour 2,2001,90.0
4586,Thomas in Love,2000,97.0
4587,Chocolat,1988,105.0
4588,Hatari!,1962,157.0
4589,La Cage aux folles,1978,99.0
4590,La Cage aux folles II,1980,101.0
4591,Liebestraum,1991,112.0
4592,Marat/Sade,1967,116.0
4593,Paint Your Wagon,1969,158.0
4594,The Shootist,1976,100.0
4595,Theremin: An Electronic Odyssey,1994,83.0
4596,The Wild Child,1970,83.0
4597,Altered States,1980,102.0
4598,Any Which Way You Can,1980,115.0
4599,The Awakening,1980,105.0
4600,Bad Timing,1980,123.0
4601,The Big Brawl,1980,95.0
4602,American Pie 2,2001,108.0
4603,Osmosis Jones,2001,95.0
4604,The Others,2001,101.0
4605,American Outlaws,2001,94.0
4606,All Over the Guy,2001,95.0
4607,The Deep End,2001,101.0
4608,On the Edge,2001,85.0
4609,Session 9,2001,100.0
4610,The Turandot Project,2000,87.0
4611,Captain Corelli's Mandolin,2001,131.0
4612,Rat Race,2001,112.0
4613,Aberdeen,2000,113.0
4614,Innocence,2000,94.0
4615,Bubble Boy,2001,84.0
4616,The Curse of the Jade Scorpion,2001,103.0
4617,Jay and Silent Bob Strike Back,2001,104.0
4618,Ghosts of Mars,2001,98.0
4619,Summer Catch,2001,108.0
4620,An American Rhapsody,2001,106.0
4621,Happy Accidents,2000,110.0
4622,Lisa Picard Is Famous,2000,90.0
4623,Maybe Baby,2000,104.0
4624,Together,2000,106.0
4625,Punks,2000,91.0
4626,Tortilla Soup,2001,103.0
4627,Jeepers Creepers,2001,90.0
4628,O,2001,95.0
4629,Waking Up in Reno,2002,91.0
4630,Speedway Junky,1999,104.0
4631,3 Ninjas,1992,84.0
4632,3 Ninjas Kick Back,1994,93.0
4633,3 Ninjas Knuckle Up,1995,85.0
4634,The Hunter,1980,93.0
4635,Maniac,1980,87.0
4636,Vamp,1986,93.0
4637,The Wicker Man,1973,99.0
4638,Wish Upon a Star,1996,89.0
4639,The Musketeer,2001,104.0
4640,Rock Star,2001,105.0
4641,Soul Survivors,2001,84.0
4642,Two Can Play That Game,2001,90.0
4643,Bounce: Behind The Velvet Rope,2001,71.0
4644,Diamond Men,2000,100.0
4645,Djomeh,2000,94.0
4646,The Iron Ladies,2000,104.0
4647,Kill Me Later,2001,89.0
4648,L.I.E.,2001,97.0
4649,Our Lady of the Assassins,2000,101.0
4650,Abbott and Costello Meet the Mummy,1955,79.0
4651,"Dr. Mabuse, the Gambler",1922,270.0
4652,Into the Arms of Strangers: Stories of the Kindertransport,2000,122.0
4653,The Glass House,2001,106.0
4654,Hardball,2001,106.0
4655,Dinner Rush,2000,99.0
4656,Haiku Tunnel,2001,88.0
4657,Big Trouble,2002,85.0
4658,Glitter,2001,104.0
4659,Training Day,2001,122.0
4660,The American Astronaut,2001,91.0
4661,Children Underground,2001,104.0
4662,Go Tigers!,2001,103.0
4663,Liam,2000,90.0
4664,Megiddo: The Omega Code 2,2001,104.0
4665,Sidewalks of New York,2001,107.0
4666,The Endurance: Shackleton's Legendary Antarctic Expedition,2000,97.0
4667,The French Lieutenant's Woman,1981,124.0
4668,The Great Silence,1968,100.0
4669,The Legend of Hell House,1973,95.0
4670,Little Man Tate,1991,99.0
4671,Moscow Does Not Believe in Tears,1980,142.0
4672,Phantom of the Paradise,1974,92.0
4673,The Return of a Man Called Horse,1976,129.0
4674,Valdez Is Coming,1971,90.0
4675,13 Ghosts,1960,85.0
4676,Montenegro,1981,96.0
4677,Opera,1987,107.0
4678,Father Goose,1964,118.0
4679,The Grass Is Greener,1960,104.0
4680,A Hole in the Head,1959,120.0
4681,Indiscreet,1958,100.0
4682,"It's a Mad, Mad, Mad, Mad World",1963,163.0
4683,King Solomon's Mines,1937,80.0
4684,The Little Foxes,1941,115.0
4685,Operation Petticoat,1959,124.0
4686,Play Misty for Me,1971,102.0
4687,Pocketful of Miracles,1961,136.0
4688,Sayonara,1957,147.0
4689,The Shop on Main Street,1965,128.0
4690,Spring Break,1983,102.0
4691,The Vanishing,1993,109.0
4692,Silkwood,1983,131.0
4693,I Never Promised You a Rose Garden,1977,96.0
4694,Quadrophenia,1979,120.0
4695,SpaceCamp,1986,107.0
4696,When Worlds Collide,1951,83.0
4697,Don't Say a Word,2001,113.0
4698,Hearts in Atlantis,2001,101.0
4699,Zoolander,2001,89.0
4700,Born Romantic,2000,96.0
4701,Extreme Days,2001,93.0
4702,Va Savoir (Who Knows?),2001,154.0
4703,Won't Anybody Listen,2001,0.0
4704,Joy Ride,2001,97.0
4705,Max Keeble's Big Move,2001,86.0
4706,Serendipity,2001,90.0
4707,Grateful Dawg,2000,81.0
4708,La Cienaga,2001,103.0
4709,The Big Red One,1980,113.0
4710,The Boogey Man,1980,82.0
4711,The Party,1980,110.0
4712,Lady in a Cage,1964,94.0
4713,Brubaker,1980,125.0
4714,Can't Stop the Music,1980,124.0
4715,Carny,1980,107.0
4716,The Changeling,1980,107.0
4717,Cheech & Chong's Next Movie,1980,99.0
4718,Coal Miner's Daughter,1980,125.0
4719,The Competition,1980,123.0
4720,Cruising,1980,102.0
4721,D.O.A.,1980,95.0
4722,Death Ship,1980,91.0
4723,The Last Metro,1980,131.0
4724,Divine Madness,1980,95.0
4725,The Dogs of War,1980,118.0
4726,The Learning Curve,2001,113.0
4727,Bandits,2001,123.0
4728,Corky Romano,2001,86.0
4729,Iron Monkey,1993,90.0
4730,Fat Girl,2001,86.0
4731,Mulholland Drive,2001,147.0
4732,My First Mister,2001,109.0
